facility,"Total Completed
Appointments 1","Completed within
30 Days 2",,,"Percent
Appts
Complete
d in 30
Days or
Less 3","Completed in
Over 30 Days 4","Percent
Appts
Complete
d in Over
30 Days 5","Completed 0-7 Days
6",,"Completed 8-14
Days 7","Completed 15-30
Days 8","Completed 31-60
Days 9","Completed 61-90
Days 10","Completed 91-120
Days 11","Completed in
more than 120
Days 12","PC Avg
Wait Time
in Days
13","SC Avg
Wait Time
in Days
14","MH Avg
Wait Time
in Days
15",
(V01) (523GA) Framingham,,331,327,,,98.79%,4,1.21%,275,,23,29,3,1,0,0,3,0.00,5,
(V01) (523GC) Quincy,,211,211,,,100.00%,0,0.00%,179,,16,16,0,0,0,0,4,,,
(V01) (523GD) Plymouth,,247,244,,,98.79%,3,1.21%,184,,31,29,3,0,0,0,6,1,,
(V01) (523MA) IDES Hanscom AFB,,19,19,,,100.00%,0,0.00%,19,,0,0,0,0,0,0,,0.00,0.00,
"(V01) (608) Manchester, NH",,"15,395","15,095",,,98.05%,300,1.95%,"13,276",,999,820,273,20,3,4,4,4,3,
(V01) (608) Manchester VAMC,,"13,816","13,541",,,98.01%,275,1.99%,"12,105",,782,654,250,18,3,4,4,4,3,
(V01) (608GA) Portsmouth,,384,380,,,98.96%,4,1.04%,289,,52,39,4,0,0,0,5,7,5.20,
(V01) (608GC) Somersworth,,584,568,,,97.26%,16,2.74%,417,,81,70,14,2,0,0,6.60,10,6,
(V01) (608GD) Conway,,168,168,,,100.00%,0,0.00%,127,,31,10,0,0,0,0,4,3.80,6,
(V01) (608HA) Tilton,,443,438,,,98.87%,5,1.13%,338,,53,47,5,0,0,0,6,5,3,
,,,,,,,,,,,,,,,,,,,,
"Completed Appointment Wait Times National,
Facility, and Division Level Summaries.
Wait Time Measured from Preferred Date
For the Reporting Period Ending: December
2016",,"Total Completed
Appointments 1","Completed within
30 Days 2",,,"Percent
Appts
Complete
d in 30
Days or
Less 3","Completed in
Over 30 Days 4","Percent
Appts
Complete
d in Over
30 Days 5","Completed 0-7 Days
6",,"Completed 8-14
Days 7","Completed 15-30
Days 8","Completed 31-60
Days 9","Completed 61-90
Days 10","Completed 91-120
Days 11","Completed in
more than 120
Days 12","PC Avg
Wait Time
in Days
13","SC Avg
Wait Time
in Days
14","MH Avg
Wait Time
in Days
15",
"(V01) (631) VA Central Western Massachusetts
HCS",,"17,307","16,718",,,96.60%,589,3.40%,"14,935",,925,858,451,111,21,6,5,5,3,
(V01) (631) Edward P Boland VAMC,,"7,598","7,241",,,95.30%,357,4.70%,"6,340",,409,492,263,82,6,6,8.70,6,4,
(V01) (631BY) Springfield,,"3,854","3,780",,,98.08%,74,1.92%,"3,415",,193,172,67,7,0,0,6,1,3.00,
(V01) (631GC) Pittsfield,,532,502,,,94.36%,30,5.64%,454,,24,24,27,3,0,0,9,2.70,2,
"(V01) (631GD) Greenfield (Franklin
County)",,585,576,,,98.46%,9,1.54%,528,,28,20,9,0,0,0,4,7,3,
(V01) (631GE) Worcester,,"2,679","2,627",,,98.06%,52,1.94%,"2,398",,140,89,30,7,15,0,3,5,3,
(V01) (631GF) Fitchburg,,757,754,,,99.60%,3,0.40%,675,,55,24,3,0,0,0,2,2,2,
"(V01) (631MA) IDES Keller Army
Community Hospital",,5,5,,,100.00%,0,0.00%,5,,0,0,0,0,0,0,,0.00,0.00,
(V01) (631PA) 631PA,,2,2,,,100.00%,0,0.00%,2,,0,0,0,0,0,0,,,,
(V01) (631QA) Plantation Street,,"1,229","1,165",,,94.79%,64,5.21%,"1,052",,76,37,52,12,0,0,,4,,
"(V01) (631QB) Lake Avenue VA
Clinic",,66,66,,,100.00%,0,0.00%,66,,0,0,0,0,0,0,,,0,
"(V01) (650) Providence, RI",,"27,827","27,403",,,98.48%,424,1.52%,"25,032",,"1,273","1,098",327,87,8,2,3.80,3,2,
(V01) (650) Providence VAMC,,"24,108","23,753",,,98.53%,355,1.47%,"21,708",,"1,073",972,274,74,5,2,4,3,2,
"(V01) (650GA) New Bedford Primary
Care Ctr.",,"1,740","1,690",,,97.13%,50,2.87%,"1,507",,102,81,39,9,2,0,4,0,9,
(V01) (650GB) Hyannis,,"1,149","1,132",,,98.52%,17,1.48%,"1,020",,77,35,12,4,1,0,4,2,2,
(V01) (650GD) Middletown,,830,828,,,99.76%,2,0.24%,797,,21,10,2,0,0,0,1,4,2,
"(V01) (689) VA Connecticut HCS, CT",,"44,521","43,996",,,98.82%,525,1.18%,"40,695",,"1,676","1,625",420,95,10,0,1,4,2,
(V01) (689) West Haven VAMC,,"25,884","25,599",,,98.90%,285,1.10%,"23,585",,"1,002","1,012",252,27,6,0,0.90,4,1.90,
(V01) (689A4) Newington VAMC,,"15,697","15,465",,,98.52%,232,1.48%,"14,348",,563,554,161,67,4,0,1,4.20,1,
(V01) (689GA) Waterbury,,448,448,,,100.00%,0,0.00%,435,,10,3,0,0,0,0,0.70,0.00,2,
(V01) (689GB) Stamford,,326,326,,,100.00%,0,0.00%,322,,4,0,0,0,0,0,0,0.00,0.00,
(V01) (689GC) Willimantic,,368,368,,,100.00%,0,0.00%,365,,2,1,0,0,0,0,0,0.00,1,
(V01) (689GD) Winsted,,450,447,,,99.33%,3,0.67%,425,,12,10,3,0,0,0,0,0.00,4,
(V01) (689GE) Danbury,,352,352,,,100.00%,0,0.00%,333,,14,5,0,0,0,0,1,0.00,3,
"(V01) (689HC) New London VA
Primary Care Center",,996,991,,,99.50%,5,0.50%,882,,69,40,4,1,0,0,2,0.00,3,
"(V02) (528) Albany, NY",,"20,416","19,665",,,96.32%,751,3.68%,"17,785",,"1,013",867,451,223,49,28,4,6,6,
"(V02) (528A8) Samuel S Stratton
VAMC",,"16,808","16,109",,,95.84%,699,4.16%,"14,547",,797,765,408,216,48,27,5,6,6,
(V02) (528G2) Westport,,269,261,,,97.03%,8,2.97%,204,,34,23,7,0,0,1,6,15,0.00,
(V02) (528G3) Bainbridge,,304,299,,,98.36%,5,1.64%,254,,25,20,5,0,0,0,4,0.00,2,
(V02) (528G6) Fonda,,269,269,,,100.00%,0,0.00%,264,,4,1,0,0,0,0,1,1,0.00,
(V02) (528G7) Catskill,,282,271,,,96.10%,11,3.90%,248,,15,8,9,2,0,0,5,0.00,3,
(V02) (528GT) Glens Falls,,678,678,,,100.00%,0,0.00%,657,,16,5,0,0,0,0,1,0.00,1,
(V02) (528GV) Plattsburgh,,525,524,,,99.81%,1,0.19%,439,,65,20,0,0,1,0,4,0.00,1,
(V02) (528GW) Schenectady,,356,356,,,100.00%,0,0.00%,354,,2,0,0,0,0,0,0,0.00,0.00,
(V02) (528GX) Troy,,196,196,,,100.00%,0,0.00%,178,,14,4,0,0,0,0,3,,0.00,
(V02) (528GY) Clifton Park,,296,271,,,91.55%,25,8.45%,241,,20,10,21,4,0,0,6,0.00,11.20,
(V02) (528GZ) Kingston,,433,431,,,99.54%,2,0.46%,399,,21,11,1,1,0,0,1,0.00,6,
"(V02) (528) Bath, NY",,"13,548","13,366",,,98.66%,182,1.34%,"12,264",,565,537,94,54,21,13,5,6,2,
"(V02) (528A6) Bath VA Medical
Center",,"12,093","11,956",,,98.87%,137,1.13%,"11,133",,447,376,56,47,21,13,3,6,2,
(V02) (528G4) Elmira,,961,919,,,95.63%,42,4.37%,706,,88,125,35,7,0,0,10,7,0,
(V02) (528G8) Wellsville,,494,491,,,99.39%,3,0.61%,425,,30,36,3,0,0,0,3,9,0,
"(V02) (528) Western New York, NY",,"33,812","32,460",,,96.00%,"1,352",4.00%,"28,783",,"1,803","1,874",951,283,90,28,5,7,3,
,,,,,,,,,,,,,,,,,,,,
"Completed Appointment Wait Times National,
Facility, and Division Level Summaries.
Wait Time Measured from Preferred Date
For the Reporting Period Ending: December
2016",,"Total Completed
Appointments 1","Completed within
30 Days 2",,,"Percent
Appts
Complete
d in 30
Days or
Less 3","Completed in
Over 30 Days 4","Percent
Appts
Complete
d in Over
30 Days 5","Completed 0-7 Days
6",,"Completed 8-14
Days 7","Completed 15-30
Days 8","Completed 31-60
Days 9","Completed 61-90
Days 10","Completed 91-120
Days 11","Completed in
more than 120
Days 12","PC Avg
Wait Time
in Days
13","SC Avg
Wait Time
in Days
14","MH Avg
Wait Time
in Days
15",
"(V02) (528) Buffalo VA Medical
Center",,"26,710","25,499",,,95.47%,"1,211",4.53%,"22,471",,"1,453","1,575",833,270,81,27,7,7,2,
"(V02) (528A4) Upstate New York
HCS-Batavia",,"3,681","3,573",,,97.07%,108,2.93%,"3,237",,140,196,89,9,9,1,9,3,2,
(V02) (528GB) Jamestown,,733,718,,,97.95%,15,2.05%,639,,43,36,14,1,0,0,2,2,7,
(V02) (528GC) Dunkirk,,474,473,,,99.79%,1,0.21%,423,,37,13,1,0,0,0,1.80,5.40,5,
(V02) (528GD) Niagara Falls,,458,453,,,98.91%,5,1.09%,415,,30,8,5,0,0,0,1,11,4,
(V02) (528GK) Lockport,,313,313,,,100.00%,0,0.00%,296,,12,5,0,0,0,0,2,,5,
(V02) (528GQ) Lackawanna,,797,791,,,99.25%,6,0.75%,706,,55,30,6,0,0,0,2,3.50,2,
(V02) (528GR) Olean,,646,640,,,99.07%,6,0.93%,596,,33,11,3,3,0,0,2,5,2,
"(V02) (528) Canandaigua, NY",,"12,351","11,707",,,94.79%,644,5.21%,"10,051",,757,899,486,121,18,19,9,7,3,
"(V02) (528A5) Canandaigua VA
Medical Center",,"5,671","5,478",,,96.60%,193,3.40%,"4,808",,307,363,174,18,1,0,9.80,5,2,
(V02) (528GE) Rochester,,"6,680","6,229",,,93.25%,451,6.75%,"5,243",,450,536,312,103,17,19,8.80,8,4,
"(V02) (528) Syracuse, NY",,"28,789","27,866",,,96.79%,923,3.21%,"23,796",,"2,002","2,068",756,140,15,12,4.40,7,3,
"(V02) (528A7) Syracuse VA Medical
Center",,"19,195","18,555",,,96.67%,640,3.33%,"15,868",,"1,261","1,426",515,99,14,12,3.30,7,2,
(V02) (528G5) Auburn,,454,452,,,99.56%,2,0.44%,418,,27,7,2,0,0,0,2,0.00,2,
(V02) (528G9) Tompkins County,,773,770,,,99.61%,3,0.39%,738,,22,10,2,1,0,0,1,5,1,
(V02) (528GL) Massena,,"1,024","1,011",,,98.73%,13,1.27%,840,,104,67,9,4,0,0,4,14,3,
"(V02) (528GM) Donald J Mitchell VA
OPC",,"3,062","2,913",,,95.13%,149,4.87%,"2,420",,226,267,124,24,1,0,8,10,4,
(V02) (528GN) Binghamton,,"1,889","1,845",,,97.67%,44,2.33%,"1,591",,143,111,42,2,0,0,4,5,3,
(V02) (528GO) Watertown,,"1,872","1,801",,,96.21%,71,3.79%,"1,444",,190,167,61,10,0,0,8,4,4,
(V02) (528GP) Oswego,,431,430,,,99.77%,1,0.23%,388,,29,13,1,0,0,0,1.20,2,3,
(V02) (528MA) Watertown DES,,45,45,,,100.00%,0,0.00%,45,,0,0,0,0,0,0,,0.00,,
(V02) (528QN) Watertown 2,,44,44,,,100.00%,0,0.00%,44,,0,0,0,0,0,0,,0.00,0.00,
"(V03) (526) Bronx, NY",,"22,935","22,854",,,99.65%,81,0.35%,"21,108",,999,747,71,7,3,0,4,2,1,
(V03) (526) James J. Peters VAMC,,"22,267","22,186",,,99.64%,81,0.36%,"20,544",,939,703,71,7,3,0,4,2,1,
(V03) (526GA) White Plains,,337,337,,,100.00%,0,0.00%,254,,43,40,0,0,0,0,5,0.00,7,
(V03) (526GB) Yonkers,,234,234,,,100.00%,0,0.00%,226,,7,1,0,0,0,0,0,0.00,1,
"(V03) (526GD) Thomas P. Noonan
Jr. VA OPC",,97,97,,,100.00%,0,0.00%,84,,10,3,0,0,0,0,2,0.00,0.00,
"(V03) (561) New Jersey HCS, NJ",,"39,146","38,361",,,97.99%,785,2.01%,"35,183",,"1,420","1,758",636,135,10,4,1,5,1,
(V03) (561) East Orange VAMC,,"20,084","19,613",,,97.65%,471,2.35%,"17,686",,862,"1,065",368,96,4,3,2,6,2,
"(V03) (561A4) New Jersey HCS, NJ -
Lyons Campus",,"7,289","7,107",,,97.50%,182,2.50%,"6,544",,233,330,163,13,6,0,1,5,0,
(V03) (561BY) Newark,,623,623,,,100.00%,0,0.00%,622,,1,0,0,0,0,0,,,,
(V03) (561BZ) Brick,,"5,733","5,614",,,97.92%,119,2.08%,"5,050",,261,303,92,26,0,1,3,5,1,
(V03) (561GA) Hamilton,,458,458,,,100.00%,0,0.00%,449,,6,3,0,0,0,0,0,2,2,
(V03) (561GB) Elizabeth,,288,288,,,100.00%,0,0.00%,287,,0,1,0,0,0,0,0,,0,
(V03) (561GD) Hackensack,,"2,064","2,062",,,99.90%,2,0.10%,"2,036",,13,13,2,0,0,0,0,2,0,
(V03) (561GE) Jersey City,,317,316,,,99.68%,1,0.32%,313,,1,2,1,0,0,0,0,2,1,
(V03) (561GF) Piscataway,,490,488,,,99.59%,2,0.41%,486,,0,2,2,0,0,0,0,0.00,1,
(V03) (561GH) Morristown,,475,473,,,99.58%,2,0.42%,433,,20,20,2,0,0,0,2,2.00,4,
(V03) (561GI) Tinton Falls,,937,934,,,99.68%,3,0.32%,893,,22,19,3,0,0,0,1,1,2,
(V03) (561GJ) Paterson,,388,385,,,99.23%,3,0.77%,384,,1,0,3,0,0,0,0.10,0.00,1.60,
"(V03) (620) VA Hudson Valley HCS, NY",,"23,052","23,029",,,99.90%,23,0.10%,"21,313",,"1,117",599,22,1,0,0,1,2.50,2,
"(V03) (620) Franklin Delano
Roosevelt Hospital",,"6,238","6,234",,,99.94%,4,0.06%,"6,004",,164,66,4,0,0,0,1,1,2,
,,,,,,,,,,,,,,,,,,,,
"Completed Appointment Wait Times National,
Facility, and Division Level Summaries.
Wait Time Measured from Preferred Date
For the Reporting Period Ending: December
2016",,"Total Completed
Appointments 1","Completed within
30 Days 2",,,"Percent
Appts
Complete
d in 30
Days or
Less 3","Completed in
Over 30 Days 4","Percent
Appts
Complete
d in Over
30 Days 5","Completed 0-7 Days
6",,"Completed 8-14
Days 7","Completed 15-30
Days 8","Completed 31-60
Days 9","Completed 61 90
Days 10","Completed 91-120
Days 11","Completed in
more than 120
Days 12","PC Avg
Wait Time
in Days
13","SC Avg
Wait Time
in Days
14","MH Avg
Wait Time
in Days
15",
(V03) (620A4) Castle Point VAMC,,"10,060","10,046",,,99.86%,14,0.14%,"9,103",,633,310,13,1,0,0,1,3,1,
(V03) (620BU) VADOM Montrose,,"1,295","1,295",,,100.00%,0,0.00%,"1,279",,14,2,0,0,0,0,,,,
(V03) (620GA) New City,,"1,436","1,435",,,99.93%,1,0.07%,"1,332",,66,37,1,0,0,0,2,2.00,4,
(V03) (620GB) Carmel,,788,787,,,99.87%,1,0.13%,718,,45,24,1,0,0,0,1,4,5,
(V03) (620GD) Goshen,,"1,057","1,057",,,100.00%,0,0.00%,895,,86,76,0,0,0,0,2,4.80,4,
(V03) (620GE) Port Jervis,,"1,051","1,049",,,99.81%,2,0.19%,946,,68,35,2,0,0,0,1.60,3.70,3,
(V03) (620GF) Monticello,,405,404,,,99.75%,1,0.25%,373,,22,9,1,0,0,0,0,3,14.20,
(V03) (620GG) Poughkeepsie,,481,481,,,100.00%,0,0.00%,450,,15,16,0,0,0,0,1,4,2.00,
(V03) (620GH) Eastern Dutchess,,215,215,,,100.00%,0,0.00%,187,,4,24,0,0,0,0,4,4,5,
(V03) (620MA) IDES West Point,,15,15,,,100.00%,0,0.00%,15,,0,0,0,0,0,0,,0.00,0.00,
"(V03) (620QA) Montrose 1 VA Mobile
Clinic",,11,11,,,100.00%,0,0.00%,11,,0,0,0,0,0,0,,,,
"(V03) (630) New York Harbor HCS, NY",,"41,785","41,489",,,99.29%,296,0.71%,"39,669",,"1,060",760,271,22,3,0,2,1,1,
(V03) (630) Manhattan VAMC,,"18,737","18,566",,,99.09%,171,0.91%,"17,753",,460,353,156,14,1,0,2,1,1.00,
(V03) (6309AB) VANURS St. Albans,,2,2,,,100.00%,0,0.00%,2,,0,0,0,0,0,0,0.00,,,
"(V03) (630A4) New York Harbor
HCS-Brooklyn Campus",,"19,245","19,128",,,99.39%,117,0.61%,"18,244",,523,361,107,8,2,0,2,1,1,
(V03) (630A5) St. Albans VAMC,,"2,730","2,722",,,99.71%,8,0.29%,"2,634",,53,35,8,0,0,0,1,1,1,
(V03) (630BU) St. Albans DCHV,,9,9,,,100.00%,0,0.00%,9,,0,0,0,0,0,0,,,,
(V03) (630GA) Harlem CBOC,,95,95,,,100.00%,0,0.00%,95,,0,0,0,0,0,0,0,0.00,0.00,
(V03) (630GB) Staten Island CBOC,,957,957,,,100.00%,0,0.00%,922,,24,11,0,0,0,0,1,1,2,
"(V03) (630QA) New York Harbor 1
VA Mobile Clinic",,10,10,,,100.00%,0,0.00%,10,,0,0,0,0,0,0,,0.00,,
"(V03) (632) Northport, NY",,"25,931","25,381",,,97.88%,550,2.12%,"23,045",,"1,320","1,016",455,78,13,4,4,5,1,
(V03) (632) Northport VAMC,,"22,095","21,588",,,97.71%,507,2.29%,"19,645",,"1,109",834,418,75,10,4,4,4.90,1,
(V03) (632BU) Northport VADOM,,180,180,,,100.00%,0,0.00%,180,,0,0,0,0,0,0,,,,
(V03) (632GA) East Meadow,,"1,176","1,171",,,99.57%,5,0.43%,"1,089",,46,36,4,1,0,0,2,11,1.70,
(V03) (632HA) Valley Stream,,334,333,,,99.70%,1,0.30%,308,,21,4,0,0,1,0,3.00,0.00,1,
(V03) (632HB) Riverhead,,688,677,,,98.40%,11,1.60%,557,,57,63,10,1,0,0,4,6.20,2,
(V03) (632HC) Bay Shore,,362,362,,,100.00%,0,0.00%,329,,26,7,0,0,0,0,3,,0,
(V03) (632HD) Patchoque,,904,898,,,99.34%,6,0.66%,793,,51,54,6,0,0,0,4,9,3,
"(V03) (632QA) Northport 1 VA Mobile
Clinic",,162,159,,,98.15%,3,1.85%,136,,8,15,3,0,0,0,,3.80,,
"(V03) (632QB) Northport 2 VA Mobile
Clinic",,30,13,,,43.33%,17,56.67%,8,,2,3,14,1,2,0,,36,,
"(V04) (460) Wilmington, DE",,"15,551","14,929",,,96.00%,622,4.00%,"12,405",,"1,214","1,310",533,76,7,6,5,7.20,6,
(V04) (460) Wilmington VAMC,,"10,685","10,290",,,96.30%,395,3.70%,"8,616",,757,917,339,48,4,4,4,7,4,
(V04) (460GA) Sussex County,,"1,199","1,158",,,96.58%,41,3.42%,995,,83,80,35,4,2,0,4,5,9,
(V04) (460GC) Kent County,,"1,458","1,348",,,92.46%,110,7.54%,"1,084",,147,117,87,20,1,2,6,4,12,
(V04) (460GD) Cape May USCG,,399,394,,,98.75%,5,1.25%,311,,43,40,4,1,0,0,7,2,4,
(V04) (460HE) Atlantic County,,971,954,,,98.25%,17,1.75%,759,,120,75,17,0,0,0,4,7.20,4,
(V04) (460HG) Cumberland County,,768,714,,,92.97%,54,7.03%,569,,64,81,51,3,0,0,5,15.30,4,
"(V04) (460HK) Wilmington VA Mobile
Clinic",,71,71,,,100.00%,0,0.00%,71,,0,0,0,0,0,0,0.00,,,
"(V04) (503) Altoona, PA",,"12,955","12,908",,,99.64%,47,0.36%,"11,538",,766,604,47,0,0,0,3.60,4,1,
"(V04) (503) James E. Van Zandt
VAMC",,"8,477","8,469",,,99.91%,8,0.09%,"7,702",,422,345,8,0,0,0,3,3,1,
(V04) (503GA) Johnstown,,"1,468","1,452",,,98.91%,16,1.09%,"1,289",,100,63,16,0,0,0,4,7,2,
(V04) (503GB) DuBois (Clearfield),,"1,405","1,388",,,98.79%,17,1.21%,"1,202",,105,81,17,0,0,0,5,6.50,1.10,
,,,,,,,,,,,,,,,,,,,,
"Completed Appointment Wait Times National,
Facility, and Division Level Summaries.
Wait Time Measured from Preferred Date
For the Reporting Period Ending: December
2016",,"Total Completed
Appointments 1","Completed within
30 Days 2",,,"Percent
Appts
Complete
d in 30
Days or
Less 3","Completed in
Over 30 Days 4","Percent
Appts
Complete
d in Over
30 Days 5","Completed 0-7 Days
6",,"Completed 8-14
Days 7","Completed 15-30
Days 8","Completed 31-60
Days 9","Completed 61-90
Days 10","Completed 91-120
Days 11","Completed in
more than 120
Days 12","PC Avg
Wait Time
in Days
13","SC Avg
Wait Time
in Days
14","MH Avg
Wait Time
in Days
15",
"(V04) (503GC) State College (Centre
County)",,"1,049","1,043",,,99.43%,6,0.57%,843,,92,108,6,0,0,0,4,7,1,
(V04) (503GD) Huntingdon County,,292,292,,,100.00%,0,0.00%,261,,28,3,0,0,0,0,3,0.00,0,
(V04) (503GE) Indiana County,,264,264,,,100.00%,0,0.00%,241,,19,4,0,0,0,0,3,0.00,0,
"(V04) (529) Butler, PA",,"8,207","8,207",,,100.00%,0,0.00%,"7,856",,176,175,0,0,0,0,0.50,2,1,
(V04) (529) Butler VAMC,,"5,861","5,861",,,100.00%,0,0.00%,"5,589",,130,142,0,0,0,0,0,2,1,
"(V04) (529GA) Michael A. Marzano
VA OPC",,801,801,,,100.00%,0,0.00%,789,,8,4,0,0,0,0,0,1,0,
(V04) (529GB) Lawrence County,,344,344,,,100.00%,0,0.00%,340,,3,1,0,0,0,0,0,1,0.00,
(V04) (529GC) Armstrong County,,403,403,,,100.00%,0,0.00%,385,,9,9,0,0,0,0,1,2,3.00,
(V04) (529GD) Clarion County,,296,296,,,100.00%,0,0.00%,280,,8,8,0,0,0,0,1,0,2,
(V04) (529GF) Cranberry Township,,502,502,,,100.00%,0,0.00%,473,,18,11,0,0,0,0,1,4,0.00,
"(V04) (540) Clarksburg, WV",,"15,261","14,550",,,95.34%,711,4.66%,"12,574",,880,"1,096",556,88,34,33,4,8,3,
(V04) (540) Louis A Johnson VAMC,,"12,395","11,738",,,94.70%,657,5.30%,"10,150",,680,908,503,87,34,33,5,8,3,
(V04) (540GA) Tucker County,,309,303,,,98.06%,6,1.94%,225,,40,38,5,1,0,0,6,12.00,11,
"(V04) (540GB) Wood County
Veterans Center",,"1,111","1,081",,,97.30%,30,2.70%,911,,80,90,30,0,0,0,5,7,5,
(V04) (540GC) Braxton County,,536,522,,,97.39%,14,2.61%,438,,49,35,14,0,0,0,5,8,17,
(V04) (540GD) Monongalia County,,882,880,,,99.77%,2,0.23%,829,,31,20,2,0,0,0,1,0.00,3,
"(V04) (540HK) Clarksburg VA Mobile
Clinic",,28,26,,,92.86%,2,7.14%,21,,0,5,2,0,0,0,9,0.00,,
"(V04) (542) Coatesville, PA",,"14,839","14,742",,,99.35%,97,0.65%,"13,961",,451,330,76,12,6,3,2,3,3,
(V04) (542) Coatesville VAMC,,"12,726","12,630",,,99.25%,96,0.75%,"11,971",,364,295,75,12,6,3,2,3,3,
(V04) (542BU) VADOM Coatesville,,656,656,,,100.00%,0,0.00%,636,,20,0,0,0,0,0,,,0.00,
(V04) (542GA) Springfield,,873,872,,,99.89%,1,0.11%,798,,48,26,1,0,0,0,2,0.00,2,
(V04) (542GE) Spring City,,584,584,,,100.00%,0,0.00%,556,,19,9,0,0,0,0,2,0.00,1,
"(V04) (562) Erie, PA",,"12,963","12,676",,,97.79%,287,2.21%,"11,377",,599,700,223,42,21,1,6.20,5,1,
(V04) (562) Erie VAMC,,"9,927","9,720",,,97.91%,207,2.09%,"8,822",,350,548,152,33,21,1,8,4.90,1,
