facility,Total Completed Appointments 1,Completed within 30 Days 2,Percent Appts Complete d in 30 Days or Less 3,Completed in Over 30 Days 4,Percent Appts Complete d in Over 30 Days 5,"Completed 0-7 Days
6","Completed 8-14
Days 7","Completed 15-30
Days 8","Completed 31-60
Days 9","Completed 61-90
Days 10","Completed 91-120
Days 11","Completed in more than 120
Days 12",PC Avg Wait Time in Days 13,SC Avg Wait Time in Days 14,MH Avg Wait Time in Days 15,,,
"(1V02) (528GB) Jamestown, NY",607,602,99.18%,5,0.82%,542,35,25,5,0,0,0,1.67,0.18,5.72,,,
"(1V02) (528GC) Dunkirk, NY",494,492,99.60%,2,0.40%,472,13,7,1,0,0,1,0.95,0.00,3.22,,,
"(1V02) (528GD) Niagara Falls, NY",457,420,91.90%,37,8.10%,365,18,37,32,4,0,1,8.69,7.71,2.64,,,
"(1V02) (528GK) Lockport, NY",384,382,99.48%,2,0.52%,371,7,4,1,1,0,0,0.99,0.00,1.89,,,
"(1V02) (528GQ) Lackawanna, NY",741,719,97.03%,22,2.97%,610,56,53,15,5,1,1,4.07,1.86,8.03,,,
"(1V02) (528GR) Olean, NY",709,688,97.04%,21,2.96%,632,30,26,11,2,4,4,6.86,2.00,1.77,,,
"(1V02) (528QA) Buffalo-Main Street, NY","1,246","1,246",100.00%,0,0.00%,"1,246",0,0,0,0,0,0,,,,,,
"(1V02) (528QB) Packard, NY",321,321,100.00%,0,0.00%,319,2,0,0,0,0,0,1.04,,,,,
"(1V02) (528A5) Canandaigua, NY HCS","12,451","11,822",94.95%,629,5.05%,"9,993",886,943,465,103,31,30,7.92,6.13,3.57,,,
"(1V02) (528A5) Canandaigua, NY","5,265","5,131",97.45%,134,2.55%,"4,417",395,319,105,17,5,7,5.57,4.43,3.69,,,
"(1V02) (528GE) Rochester, NY","5,309","4,988",93.95%,321,6.05%,"4,145",381,462,225,65,20,11,9.05,5.35,3.50,,,
"(1V02) (528QC) Clinton Crossings, NY","1,873","1,700",90.76%,173,9.24%,"1,428",110,162,134,21,6,12,,8.92,,,,
"(1V02) (528QD) Mount Hope, NY",4,3,75.00%,1,25.00%,3,0,0,1,0,0,0,,,,,,
"(1V02) (528A7) Syracuse, NY HCS","30,015","28,596",95.27%,"1,419",4.73%,"25,059","1,682","1,855",896,365,82,76,2.70,8.69,3.20,,,
"(1V02) (528A7) Syracuse, NY","15,899","14,853",93.42%,"1,046",6.58%,"12,596","1,059","1,198",686,255,52,53,2.82,8.92,3.96,,,
"(1V02) (528G5) Auburn, NY",399,390,97.74%,9,2.26%,347,18,25,6,3,0,0,2.79,6.00,6.63,,,
"(1V02) (528G9) Tompkins County, NY",585,569,97.26%,16,2.74%,517,31,21,8,5,3,0,1.51,16.26,6.22,,,
"(1V02) (528GL) Massena, NY","1,065","1,058",99.34%,7,0.66%,908,64,86,5,1,0,1,2.88,5.10,3.94,,,
"(1V02) (528GM) Rome, NY (Donald
J. Mitchell)","3,583","3,470",96.85%,113,3.15%,"3,085",187,198,51,56,5,1,4.18,7.55,3.89,,,
"(1V02) (528GN) Binghamton, NY","2,216","2,180",98.38%,36,1.62%,"1,985",97,98,18,6,6,6,2.15,7.01,1.33,,,
"(1V02) (528GO) Watertown, NY","1,292","1,261",97.60%,31,2.40%,"1,160",52,49,19,7,4,1,1.12,15.31,4.25,,,
"(1V02) (528GP) Oswego, NY",443,437,98.65%,6,1.35%,404,18,15,2,3,0,1,2.01,10.50,3.14,,,
(1V02) (528MA) Watertown DES,12,12,100.00%,0,0.00%,11,1,0,0,0,0,0,,0.83,,,,
"(1V02) (528QG) Erie West, NY","2,415","2,369",98.10%,46,1.90%,"2,247",62,60,42,1,2,1,,0.70,2.37,,,
"(1V02) (528QH) South Salina, NY",462,460,99.57%,2,0.43%,439,11,10,2,0,0,0,,,0.00,,,
"(1V02) (528QI) Erie East, NY",731,639,87.41%,92,12.59%,526,56,57,43,28,10,11,,12.63,,,,
"(1V02) (528QN) Watertown 2, NY",913,898,98.36%,15,1.64%,834,26,38,14,0,0,1,,2.87,2.78,,,
"(1V02) (526) Bronx, NY HCS","20,235","19,628",97.00%,607,3.00%,"17,991",804,833,454,106,18,29,5.26,5.49,0.81,,,
"(1V02) (526) Bronx, NY (James J.
Peters)","19,725","19,133",97.00%,592,3.00%,"17,541",781,811,442,105,18,27,5.58,5.46,0.65,,,
"(1V02) (526GA) White Plains, NY",277,270,97.47%,7,2.53%,243,16,11,5,1,0,1,2.58,34.83,4.75,,,
"(1V02) (526GB) Yonkers, NY",186,179,96.24%,7,3.76%,170,6,3,6,0,0,1,3.17,23.71,1.53,,,
"(1V02) (526GD) Sunnyside-Queens, NY (Thomas P. Noonan Jr.)",47,46,97.87%,1,2.13%,37,1,8,1,0,0,0,4.73,16.00,,,,
(1V02) (561) New Jersey HCS,"38,168","35,837",93.89%,"2,331",6.11%,"32,241","1,626","1,970","1,563",510,115,143,3.69,10.30,5.90,,,
"Completed Appointment Wait Times National, Facility, and Division Level Summaries.
Wait Time Measured from Preferred Date For the Reporting Period Ending:  December 2018",Total Completed Appointments 1,Completed within 30 Days 2,Percent Appts Complete d in 30 Days or Less 3,Completed in Over 30 Days 4,Percent Appts Complete d in Over 30 Days 5,"Completed 0-7 Days
6","Completed 8-14
Days 7","Completed 15-30
Days 8","Completed 31-60
Days 9","Completed 61-90
Days 10","Completed 91-120
Days 11","Completed in more than 120
Days 12",PC Avg Wait Time in Days 13,SC Avg Wait Time in Days 14,MH Avg Wait Time in Days 15,,,
"(1V02) (561) East Orange, NJ","20,165","18,710",92.78%,"1,455",7.22%,"16,703",846,"1,161",963,307,85,100,5.28,10.38,9.58,,,
"(1V02) (561A4) Lyons, NJ","7,483","7,034",94.00%,449,6.00%,"6,252",354,428,297,110,15,27,3.48,12.06,4.83,,,
"(1V02) (561BZ) Brick, NJ (James J.
Howard)","5,273","4,922",93.34%,351,6.66%,"4,440",247,235,254,76,12,9,5.42,8.22,5.17,,,
"(1V02) (561GA) Hamilton, NJ",554,543,98.01%,11,1.99%,472,46,25,7,2,0,2,4.33,6.38,3.35,,,
"(1V02) (561GB) Elizabeth, NJ",185,184,99.46%,1,0.54%,166,11,7,1,0,0,0,2.63,,1.08,,,
"(1V02) (561GD) Hackensack, NJ","1,586","1,558",98.23%,28,1.77%,"1,471",47,40,17,7,3,1,1.48,3.46,4.26,,,
"(1V02) (561GE) Jersey City, NJ",320,318,99.38%,2,0.63%,312,3,3,2,0,0,0,0.19,7.29,0.81,,,
"(1V02) (561GF) Piscataway, NJ",636,635,99.84%,1,0.16%,632,1,2,1,0,0,0,0.29,3.17,0.56,,,
"(1V02) (561GH) Morristown, NJ",379,372,98.15%,7,1.85%,331,18,23,7,0,0,0,3.99,0.00,1.83,,,
"(1V02) (561GI) Tinton Falls, NJ",954,936,98.11%,18,1.89%,876,27,33,11,3,0,4,3.73,6.70,1.92,,,
"(1V02) (561GJ) Paterson, NJ",352,344,97.73%,8,2.27%,315,18,11,3,5,0,0,2.94,2.33,3.47,,,
"(1V02) (561GK) Sussex, NJ",281,281,100.00%,0,0.00%,271,8,2,0,0,0,0,0.99,0.00,1.41,,,
"(1V02) (620) Hudson Valley, NY HCS","18,943","18,234",96.26%,709,3.74%,"16,229",965,"1,040",506,115,40,48,2.86,5.88,4.45,,,
"(1V02) (620) Montrose, NY (Franklin Delano Roosevelt)","4,779","4,642",97.13%,137,2.87%,"4,209",228,205,102,25,2,8,2.76,4.02,5.51,,,
"(1V02) (620A4) Castle Point, NY","9,567","9,133",95.46%,434,4.54%,"8,049",488,596,309,71,28,26,2.72,6.29,2.38,,,
"(1V02) (620BU) Montrose, NY - VADOM",6,6,100.00%,0,0.00%,6,0,0,0,0,0,0,,,,,,
"(1V02) (620GA) New City, NY","1,237","1,204",97.33%,33,2.67%,"1,097",57,50,19,8,4,2,1.78,4.19,5.39,,,
"(1V02) (620GB) Carmel, NY",663,645,97.29%,18,2.71%,565,43,37,14,2,2,0,2.64,4.96,8.62,,,
"(1V02) (620GD) Goshen, NY","1,009",957,94.85%,52,5.15%,851,51,55,31,9,3,9,4.78,12.22,6.70,,,
"(1V02) (620GE) Port Jervis, NY",770,762,98.96%,8,1.04%,651,65,46,8,0,0,0,2.73,4.37,7.76,,,
"(1V02) (620GF) Monticello, NY",313,309,98.72%,4,1.28%,293,7,9,4,0,0,0,0.85,3.71,8.59,,,
"(1V02) (620GG) Poughkeepsie, NY",453,431,95.14%,22,4.86%,376,21,34,19,0,1,2,4.84,8.98,1.42,,,
"(1V02) (620GH) Eastern Dutchess, NY",135,134,99.26%,1,0.74%,121,5,8,0,0,0,1,2.49,7.17,4.57,,,
(1V02) (620MA) IDES West Point,5,5,100.00%,0,0.00%,5,0,0,0,0,0,0,,0.00,0.00,,,
"(1V02) (620QA) Montrose 1, NY -
Mobile",6,6,100.00%,0,0.00%,6,0,0,0,0,0,0,,,,,,
(1V02) (630) New York Harbor HCS,"39,718","38,491",96.91%,"1,227",3.09%,"34,507","1,894","2,090",997,186,29,15,5.37,4.80,1.40,,,
"(1V02) (630) Manhattan, NY","18,021","17,328",96.15%,693,3.85%,"15,387",912,"1,029",601,57,23,12,5.96,5.23,1.48,,,
"(1V02) (6309AB) St. Albans, NY - CLC",6,6,100.00%,0,0.00%,6,0,0,0,0,0,0,0.00,,,,,
"(1V02) (630A4) Brooklyn, NY","17,975","17,533",97.54%,442,2.46%,"15,799",812,922,329,108,3,2,6.20,4.30,1.19,,,
"(1V02) (630A5) St. Albans, NY","2,706","2,637",97.45%,69,2.55%,"2,414",138,85,46,20,3,0,3.11,4.72,1.24,,,
(1V02) (630BU) Brooklyn Psychosocial Residential Rehabilitation Treatment Program,65,65,100.00%,0,0.00%,65,0,0,0,0,0,0,,,,,,
"(1V02) (630BV) Brooklyn, NY - VADOM",30,30,100.00%,0,0.00%,30,0,0,0,0,0,0,,,,,,
"(1V02) (630GA) Harlem, NY",105,105,100.00%,0,0.00%,105,0,0,0,0,0,0,0.09,,0.00,,,
"(1V02) (630GB) Staten Island, NY",810,787,97.16%,23,2.84%,701,32,54,21,1,0,1,1.76,6.34,3.73,,,
"(1V02) (632) Northport, NY HCS","24,415","22,945",93.98%,"1,470",6.02%,"20,042","1,267","1,636",970,312,92,96,8.39,8.66,5.06,,,
"(1V02) (632) Northport, NY","20,890","19,603",93.84%,"1,287",6.16%,"17,133","1,048","1,422",859,256,80,92,10.44,8.72,4.34,,,
"(1V02) (632BU) Northport, NY - VADOM",105,105,100.00%,0,0.00%,102,1,2,0,0,0,0,,,,,,
"(1V02) (632GA) East Meadow, NY","1,075","1,000",93.02%,75,6.98%,831,85,84,33,33,6,3,8.17,13.11,11.03,,,
"(1V02) (632HA) Valley Stream, NY",240,235,97.92%,5,2.08%,198,18,19,3,1,1,0,5.32,0.00,2.12,,,
"(1V02) (632HB) Riverhead, NY",803,767,95.52%,36,4.48%,680,39,48,30,5,0,1,4.02,7.24,2.77,,,
"(1V02) (632HC) Bay Shore, NY",375,330,88.00%,45,12.00%,293,25,12,29,13,3,0,9.02,,9.80,,,
"Completed Appointment Wait Times National, Facility, and Division Level Summaries.
Wait Time Measured from Preferred Date For the Reporting Period Ending:  December 2018",Total Completed Appointments 1,Completed within 30 Days 2,Percent Appts Complete d in 30 Days or Less 3,Completed in Over 30 Days 4,Percent Appts Complete d in Over 30 Days 5,"Completed 0-7 Days
6","Completed 8-14
Days 7","Completed 15-30
Days 8","Completed 31-60
Days 9","Completed 61-90
Days 10","Completed 91-120
Days 11","Completed in more than 120
Days 12",PC Avg Wait Time in Days 13,SC Avg Wait Time in Days 14,MH Avg Wait Time in Days 15,,,
"(1V02) (632HD) Patchogue, NY",776,760,97.94%,16,2.06%,680,38,42,11,3,2,0,4.11,3.73,4.29,,,
"(1V02) (632HF) Lindenhurst, NY",3,3,100.00%,0,0.00%,3,0,0,0,0,0,0,0.00,,0.00,,,
"(1V02) (632QA) Northport 1, NY -
Mobile",118,117,99.15%,1,0.85%,100,11,6,0,1,0,0,,3.72,,,,
"(1V02) (632QB) Northport 2, NY -
Mobile",30,25,83.33%,5,16.67%,22,2,1,5,0,0,0,2.00,14.89,,,,
"(1V04) (460) Wilmington, DE HCS","16,205","15,150",93.49%,"1,055",6.51%,"13,173",853,"1,124",734,183,98,40,2.65,11.57,3.85,,,
"(1V04) (460) Wilmington, DE","10,984","10,113",92.07%,871,7.93%,"8,739",575,799,598,152,90,31,2.99,12.29,1.65,,,
"(1V04) (460GA) Georgetown, DE (Sussex County)","1,338","1,276",95.37%,62,4.63%,"1,164",45,67,46,14,1,1,2.73,7.98,7.53,,,
"(1V04) (460GC) Dover, DE (Kent
County)","1,303","1,252",96.09%,51,3.91%,"1,072",84,96,27,9,7,8,2.24,11.44,9.31,,,
"(1V04) (460GD) Cape May, NJ",378,375,99.21%,3,0.79%,341,22,12,3,0,0,0,1.60,3.64,2.46,,,
"(1V04) (460HE) Northfield, NJ (Atlantic County)","1,057","1,024",96.88%,33,3.12%,897,55,72,28,5,0,0,2.25,9.78,3.42,,,
"(1V04) (460HG) Vineland, NJ
(Cumberland County)","1,111","1,076",96.85%,35,3.15%,927,72,77,32,3,0,0,2.85,6.12,2.90,,,
"(1V04) (460HK) Wilmington, DE - Mobile",34,34,100.00%,0,0.00%,33,0,1,0,0,0,0,0.76,,,,,
