facility,Total Completed Appointments 1,Completed within 30 Days 2,Percent Appts Complete d in 30 Days or Less 3,Completed in Over 30 Days 4,Percent Appts Complete d in Over 30 Days 5,"Completed 0-7 Days
6","Completed 8-14
Days 7","Completed 15-30
Days 8","Completed 31-60
Days 9","Completed 61-90
Days 10","Completed 91-120
Days 11","Completed in more than 120
Days 12",PC Avg Wait Time in Days 13,SC Avg Wait Time in Days 14,MH Avg Wait Time in Days 15,,
"Completed Appointment Wait Times National, Facility, and Division Level Summaries.
Wait Time Measured from Preferred Date For the Reporting Period Ending:  February 2021",Total Completed Appointments 1,Completed within 30 Days 2,Percent Appts Complete d in 30 Days or Less 3,Completed in Over 30 Days 4,Percent Appts Complete d in Over 30 Days 5,"Completed 0-7 Days
6","Completed 8-14
Days 7","Completed 15-30
Days 8","Completed 31-60
Days 9","Completed 61-90
Days 10","Completed 91-120
Days 11","Completed in more than 120
Days 12",PC Avg Wait Time in Days 13,SC Avg Wait Time in Days 14,MH Avg Wait Time in Days 15,,
"(1V04) (460HE) Atlantic County, NJ","1,931","1,888",97.77%,43,2.23%,"1,722",66,100,33,6,3,1,1.03,11.99,5.47,,
"(1V04) (460HG) Cumberland County, NJ","1,500","1,435",95.67%,65,4.33%,"1,300",66,69,31,6,5,23,5.07,18.92,3.03,,
"(1V04) (503) Altoona, PA HCS","20,526","20,180",98.31%,346,1.69%,"18,568",846,766,244,67,15,20,0.85,5.18,2.65,,
"(1V04) (503) Altoona, PA (James E. Van Zandt)","12,363","12,105",97.91%,258,2.09%,"11,062",534,509,184,49,9,16,0.73,5.36,3.47,,
"(1V04) (503GA) Johnstown, PA","2,507","2,482",99.00%,25,1.00%,"2,393",58,31,14,3,4,4,0.63,2.27,1.26,,
"(1V04) (503GB) DuBois, PA","2,647","2,631",99.40%,16,0.60%,"2,364",141,126,10,6,0,0,1.17,6.40,2.21,,
"(1V04) (503GC) State College, PA","1,950","1,918",98.36%,32,1.64%,"1,812",54,52,24,8,0,0,0.76,5.38,0.32,,
"(1V04) (503GD) Huntingdon County, PA",475,470,98.95%,5,1.05%,416,26,28,4,1,0,0,1.41,4.58,0.00,,
"(1V04) (503GE) Indiana County, PA",584,574,98.29%,10,1.71%,521,33,20,8,0,2,0,1.55,5.90,1.45,,
"(1V04) (529) Butler, PA HCS","12,310","12,180",98.94%,130,1.06%,"11,596",315,269,74,35,12,9,0.35,3.66,2.45,,
"(1V04) (529) Duffy Road, PA (Abie Abraham)","6,111","5,989",98.00%,122,2.00%,"5,480",258,251,69,33,12,8,1.06,3.78,2.42,,
"(1V04) (529A4) New Castle Road, PA (Butler)","4,338","4,338",100.00%,0,0.00%,"4,294",41,3,0,0,0,0,0.24,0.00,0.77,,
"(1V04) (529GA) Hermitage, PA (Michael A. Marzano)",706,700,99.15%,6,0.85%,683,8,9,4,1,0,1,0.22,1.33,6.03,,
"(1V04) (529GB) Lawrence County, PA",212,212,100.00%,0,0.00%,206,3,3,0,0,0,0,0.00,0.00,2.19,,
"(1V04) (529GC) Armstrong County, PA",265,264,99.62%,1,0.38%,262,1,1,1,0,0,0,0.04,3.11,1.84,,
