facility,Total Completed Appointments 1,Completed within 30 Days 2,Percent Appts Complete d in 30 Days or Less 3,Completed in Over 30 Days 4,Percent Appts Complete d in Over 30 Days 5,"Completed 0-7 Days
6","Completed 8-14
Days 7","Completed 15-30
Days 8","Completed 31-60
Days 9","Completed 61-90
Days 10","Completed 91-120
Days 11","Completed in more than 120
Days 12",PC Avg Wait Time in Days 13,SC Avg Wait Time in Days 14,MH Avg Wait Time in Days 15,,,
"(1V01) (523GA) Framingham, MA",374,368,98.40%,6,1.60%,311,22,35,6,0,0,0,4.30,2.33,2.53,,,
"(1V01) (523GC) Quincy, MA",138,137,99.28%,1,0.72%,125,4,8,1,0,0,0,2.58,,,,,
"(1V01) (523GD) Plymouth, MA",314,311,99.04%,3,0.96%,265,29,17,2,0,1,0,4.90,0.00,,,,
(1V01) (523MA) IDES Hanscom AFB,5,5,100.00%,0,0.00%,4,1,0,0,0,0,0,,3.50,0.00,,,
"(1V01) (608) Manchester, NH HCS","13,766","12,339",89.63%,"1,427",10.37%,"10,431",830,"1,078",850,293,96,188,13.68,14.84,3.58,,,
"(1V01) (608) Manchester, NH","12,424","11,148",89.73%,"1,276",10.27%,"9,438",749,961,757,265,88,166,13.04,14.73,2.63,,,
"(1V01) (608GA) Portsmouth, NH",259,239,92.28%,20,7.72%,188,14,37,14,5,1,0,8.06,6.14,16.29,,,
"(1V01) (608GC) Somersworth, NH",500,433,86.60%,67,13.40%,359,35,39,40,13,2,12,14.18,43.95,9.83,,,
"(1V01) (608GD) Conway, NH",182,156,85.71%,26,14.29%,128,8,20,17,4,4,1,16.17,0.00,0.89,,,
"(1V01) (608HA) Tilton, NH",401,363,90.52%,38,9.48%,318,24,21,22,6,1,9,18.19,,1.17,,,
"Completed Appointment Wait Times National, Facility, and Division Level Summaries.
Wait Time Measured from Preferred Date For the Reporting Period Ending:  December 2020",Total Completed Appointments 1,Completed within 30 Days 2,Percent Appts Complete d in 30 Days or Less 3,Completed in Over 30 Days 4,Percent Appts Complete d in Over 30 Days 5,"Completed 0-7 Days
6","Completed 8-14
Days 7","Completed 15-30
Days 8","Completed 31-60
Days 9","Completed 61-90
Days 10","Completed 91-120
Days 11","Completed in more than 120
Days 12",PC Avg Wait Time in Days 13,SC Avg Wait Time in Days 14,MH Avg Wait Time in Days 15,,,
(1V01) (631) Central Western Massachusetts HCS,"16,076","15,059",93.67%,"1,017",6.33%,"13,536",824,699,440,194,91,292,6.08,14.87,3.03,,,
"(1V01) (631) Central Western Massachusetts, MA (Edward P. Boland)","7,139","6,731",94.28%,408,5.72%,"6,082",359,290,174,82,33,119,2.77,17.75,2.90,,,
"(1V01) (631BY) Springfield, MA","3,109","2,893",93.05%,216,6.95%,"2,638",156,99,78,46,16,76,7.09,14.14,1.77,,,
"(1V01) (631GC) Pittsfield, MA",501,482,96.21%,19,3.79%,439,27,16,14,2,0,3,1.78,10.40,2.90,,,
"(1V01) (631GD) Greenfield, MA",688,664,96.51%,24,3.49%,589,38,37,9,5,2,8,7.13,5.50,1.32,,,
"(1V01) (631GE) Worcester, MA","1,812","1,647",90.89%,165,9.11%,"1,437",90,120,71,31,22,41,10.83,4.66,0.05,,,
"(1V01) (631GF) Fitchburg, MA",550,518,94.18%,32,5.82%,482,20,16,18,9,2,3,10.71,105.00,4.70,,,
(1V01) (631PA) 631PA,1,1,100.00%,0,0.00%,0,1,0,0,0,0,0,,,,,,
"(1V01) (631QA) Plantation Street, MA","1,326","1,268",95.63%,58,4.37%,"1,136",71,61,15,6,9,28,,11.19,,,,
"(1V01) (631QB) Lake Avenue, MA",950,855,90.00%,95,10.00%,733,62,60,61,13,7,14,,23.53,6.64,,,
"(1V01) (650) Providence, RI HCS","22,865","21,659",94.73%,"1,206",5.27%,"18,885","1,247","1,527",641,243,110,212,10.71,8.24,3.57,,,
"(1V01) (650) Providence, RI","17,030","16,020",94.07%,"1,010",5.93%,"13,993",867,"1,160",510,210,98,192,13.65,10.83,3.66,,,
"(1V01) (650GA) New Bedford, MA","1,296","1,271",98.07%,25,1.93%,"1,136",69,66,21,3,0,1,1.44,3.07,4.73,,,
"(1V01) (650GB) Hyannis, MA","1,097","1,069",97.45%,28,2.55%,989,50,30,23,3,0,2,4.44,6.64,0.51,,,
"(1V01) (650GD) Middletown, RI",558,524,93.91%,34,6.09%,406,56,62,22,6,5,1,12.88,2.67,4.56,,,
"(1V01) (650QA) Eagle Square, RI","1,978","1,886",95.35%,92,4.65%,"1,652",134,100,48,21,7,16,,6.18,,,,
"(1V01) (650QB) Eagle Street, RI",906,889,98.12%,17,1.88%,709,71,109,17,0,0,0,,5.11,,,,
(1V01) (689) Connecticut HCS,"39,353","37,082",94.23%,"2,271",5.77%,"32,689","2,012","2,381","1,410",374,148,339,3.31,13.10,2.27,,,
"(1V01) (689) West Haven, CT","21,576","20,160",93.44%,"1,416",6.56%,"17,686","1,057","1,417",905,250,107,154,3.08,11.93,1.79,,,
"(1V01) (689A4) Newington, CT","11,849","11,048",93.24%,801,6.76%,"9,468",747,833,464,119,41,177,4.19,15.12,3.03,,,
"(1V01) (689BU) West Haven, CT - VADOM",4,4,100.00%,0,0.00%,3,1,0,0,0,0,0,,,,,,
"(1V01) (689GA) Waterbury, CT",782,778,99.49%,4,0.51%,745,23,10,1,3,0,0,1.71,,0.98,,,
"(1V01) (689GB) Stamford, CT",432,424,98.15%,8,1.85%,390,17,17,6,0,0,2,1.60,,0.39,,,
"(1V01) (689GC) Willimantic, CT",704,690,98.01%,14,1.99%,627,45,18,12,1,0,1,1.51,,7.00,,,
"(1V01) (689GD) Winsted, CT",466,464,99.57%,2,0.43%,435,19,10,2,0,0,0,1.81,,1.04,,,
"(1V01) (689GE) Danbury, CT",540,536,99.26%,4,0.74%,506,17,13,3,0,0,1,2.92,,2.14,,,
"(1V01) (689GF) Orange, CT",1,1,100.00%,0,0.00%,1,0,0,0,0,0,0,,,,,,
"(1V01) (689HC) New London, CT
(John J. McGuirk)","1,659","1,646",99.22%,13,0.78%,"1,516",72,58,9,0,0,4,3.53,,6.26,,,
"(1V01) (689QA) Errera, CT","1,340","1,331",99.33%,9,0.67%,"1,312",14,5,8,1,0,0,1.67,1.00,4.60,,,
"(1V02) (528A8) Albany, NY HCS","17,077","15,950",93.40%,"1,127",6.60%,"14,306",792,852,528,248,114,237,5.87,11.52,3.20,,,
"(1V02) (528A8) Albany, NY (Samuel S. Stratton)","13,528","12,467",92.16%,"1,061",7.84%,"11,039",666,762,497,235,107,222,10.10,11.55,3.33,,,
"(1V02) (528G2) Westport, NY",141,138,97.87%,3,2.13%,131,5,2,1,1,0,1,3.97,0.00,0.00,,,
"(1V02) (528G3) Bainbridge, NY",243,234,96.30%,9,3.70%,210,10,14,4,3,2,0,5.36,0.00,2.85,,,
"(1V02) (528G6) Fonda, NY",267,267,100.00%,0,0.00%,262,3,2,0,0,0,0,1.29,0.00,2.36,,,
"(1V02) (528G7) Catskill, NY",258,252,97.67%,6,2.33%,215,24,13,4,1,0,1,3.21,1.80,0.29,,,
"(1V02) (528GT) Glens Falls, NY",492,487,98.98%,5,1.02%,465,15,7,1,0,0,4,3.42,0.00,0.12,,,
"(1V02) (528GV) Plattsburgh, NY",529,512,96.79%,17,3.21%,488,13,11,10,2,1,4,3.46,25.25,0.88,,,
"(1V02) (528GW) Schenectady, NY",577,573,99.31%,4,0.69%,567,5,1,1,1,1,1,1.18,0.00,0.00,,,
"(1V02) (528GX) Troy, NY",246,246,100.00%,0,0.00%,238,1,7,0,0,0,0,1.44,0.00,0.00,,,
"(1V02) (528GY) Clifton Park, NY",290,283,97.59%,7,2.41%,247,21,15,4,1,2,0,3.84,,,,,
"(1V02) (528GZ) Kingston, NY",364,356,97.80%,8,2.20%,326,21,9,4,2,0,2,2.25,,4.50,,,
"(1V02) (528QK) Saranac Lake, NY",142,135,95.07%,7,4.93%,118,8,9,2,2,1,2,5.39,0.00,0.38,,,
"Completed Appointment Wait Times National, Facility, and Division Level Summaries.
Wait Time Measured from Preferred Date For the Reporting Period Ending:  December 2020",Total Completed Appointments 1,Completed within 30 Days 2,Percent Appts Complete d in 30 Days or Less 3,Completed in Over 30 Days 4,Percent Appts Complete d in Over 30 Days 5,"Completed 0-7 Days
6","Completed 8-14
Days 7","Completed 15-30
Days 8","Completed 31-60
Days 9","Completed 61-90
Days 10","Completed 91-120
Days 11","Completed in more than 120
Days 12",PC Avg Wait Time in Days 13,SC Avg Wait Time in Days 14,MH Avg Wait Time in Days 15,,,
"(1V02) (528A6) Finger Lakes, NY HCS","20,640","18,781",90.99%,"1,859",9.01%,"16,394","1,237","1,150",860,410,292,297,5.51,19.69,2.50,,,
"(1V02) (528A5) Canandaigua, NY","4,813","4,441",92.27%,372,7.73%,"3,828",337,276,221,78,42,31,5.33,13.36,3.49,,,
"(1V02) (528A6) Bath, NY","7,135","6,804",95.36%,331,4.64%,"6,290",251,263,182,65,32,52,1.96,15.06,0.64,,,
"(1V02) (528G4) Elmira, NY",563,535,95.03%,28,4.97%,433,68,34,6,2,1,19,4.61,13.70,0.00,,,
"(1V02) (528G8) Wellsville, NY",282,247,87.59%,35,12.41%,215,17,15,9,18,2,6,8.85,30.63,0.47,,,
"(1V02) (528QC) Rochester Calkins, NY","7,657","6,592",86.09%,"1,065",13.91%,"5,481",561,550,428,236,213,188,6.72,25.91,3.30,,,
"(1V02) (528QE) Coudersport, PA",19,18,94.74%,1,5.26%,15,1,2,0,1,0,0,7.21,,,,,
"(1V02) (528QF) Wellsboro, PA",171,144,84.21%,27,15.79%,132,2,10,14,10,2,1,10.84,22.50,5.75,,,
(1V02) (528) Western New York HCS,"28,006","26,583",94.92%,"1,423",5.08%,"24,112","1,233","1,238",737,305,105,276,3.39,10.50,3.33,,,
"(1V02) (528) Buffalo, NY","21,108","19,841",94.00%,"1,267",6.00%,"17,686","1,065","1,090",674,261,86,246,4.19,10.59,3.88,,,
"(1V02) (528A4) Batavia, NY","2,370","2,281",96.24%,89,3.76%,"2,127",77,77,33,29,16,11,2.35,10.11,2.19,,,
"(1V02) (528GB) Jamestown, NY",544,538,98.90%,6,1.10%,490,23,25,4,2,0,0,1.17,6.23,1.00,,,
"(1V02) (528GC) Dunkirk, NY",599,589,98.33%,10,1.67%,582,5,2,7,2,0,1,3.64,8.00,0.43,,,
"(1V02) (528GD) Niagara Falls, NY",353,337,95.47%,16,4.53%,321,10,6,5,7,0,4,3.96,0.00,5.05,,,
"(1V02) (528GK) Lockport, NY",256,253,98.83%,3,1.17%,230,18,5,1,2,0,0,1.12,0.00,2.87,,,
"(1V02) (528GQ) West Seneca, NY",556,533,95.86%,23,4.14%,511,10,12,6,1,3,13,4.86,0.00,0.45,,,
"(1V02) (528GR) Olean, NY",653,645,98.77%,8,1.23%,600,24,21,7,1,0,0,0.83,4.55,0.68,,,
"(1V02) (528QA) Buffalo Main Street, NY",731,730,99.86%,1,0.14%,729,1,0,0,0,0,1,,,,,,
"(1V02) (528QB) Packard, NY",836,836,100.00%,0,0.00%,836,0,0,0,0,0,0,0.22,,,,,
"(1V02) (528A7) Syracuse, NY HCS","30,753","28,765",93.54%,"1,988",6.46%,"25,006","1,776","1,983","1,155",410,132,291,2.56,9.91,3.37,,,
"(1V02) (528A7) Syracuse, NY","16,075","14,665",91.23%,"1,410",8.77%,"12,392","1,050","1,223",844,319,102,145,2.68,9.09,3.03,,,
"(1V02) (528G5) Auburn, NY",512,455,88.87%,57,11.13%,303,63,89,36,14,2,5,9.99,0.00,11.07,,,
"(1V02) (528G9) Tompkins County, NY",677,667,98.52%,10,1.48%,638,13,16,8,1,0,1,1.20,0.00,2.71,,,
"(1V02) (528GL) Massena, NY","1,077","1,057",98.14%,20,1.86%,975,50,32,17,3,0,0,0.82,7.23,3.48,,,
"(1V02) (528GM) Rome, NY (Donald
J. Mitchell)","3,546","3,325",93.77%,221,6.23%,"2,921",192,212,88,23,15,95,2.48,15.97,2.47,,,
"(1V02) (528GN) Binghamton, NY","1,814","1,758",96.91%,56,3.09%,"1,527",113,118,42,10,3,1,2.29,7.14,4.54,,,
"(1V02) (528GO) Watertown, NY","1,566","1,543",98.53%,23,1.47%,"1,427",65,51,17,4,0,2,1.70,2.56,3.25,,,
"(1V02) (528GP) Oswego, NY",493,487,98.78%,6,1.22%,468,9,10,5,1,0,0,0.68,0.00,3.06,,,
"(1V02) (528QG) Erie West, NY","2,722","2,616",96.11%,106,3.89%,"2,386",104,126,65,21,5,15,,1.43,3.50,,,
"(1V02) (528QH) South Salina, NY",546,545,99.82%,1,0.18%,538,5,2,0,1,0,0,,,,,,
"(1V02) (528QI) Erie East, NY",819,761,92.92%,58,7.08%,605,78,78,26,11,5,16,,11.86,,,,
"(1V02) (528QN) Watertown 2, NY",906,886,97.79%,20,2.21%,826,34,26,7,2,0,11,,5.47,1.87,,,
"(1V02) (526) Bronx, NY HCS","15,403","14,883",96.62%,520,3.38%,"13,791",524,568,263,84,50,123,3.69,7.79,0.40,,,
"(1V02) (526) Bronx, NY (James J.
Peters)","15,011","14,492",96.54%,519,3.46%,"13,409",520,563,262,84,50,123,4.24,7.79,0.40,,,
"(1V02) (526GB) Yonkers, NY",65,65,100.00%,0,0.00%,65,0,0,0,0,0,0,4.24,7.79,0.40,,,
"(1V02) (526GA) White Plains, NY",17,17,100.00%,0,0.00%,17,0,0,0,0,0,0,4.24,7.79,0.40,,,
"(1V02) (526GD) Sunnyside, NY (Thomas P. Noonan Jr.)",18,18,100.00%,0,0.00%,15,0,3,0,0,0,0,4.24,7.79,0.40,,,
"(1V02) (526GA) White Plains, NY",166,166,100.00%,0,0.00%,163,3,0,0,0,0,0,0.54,5.00,0.00,,,
"(1V02) (526GB) Yonkers, NY",85,84,98.82%,1,1.18%,83,1,0,1,0,0,0,0.48,,1.83,,,
"(1V02) (526GD) Sunnyside, NY (Thomas P. Noonan Jr.)",41,41,100.00%,0,0.00%,39,0,2,0,0,0,0,2.17,,,,,
(1V02) (561) New Jersey HCS,"30,371","27,971",92.10%,"2,400",7.90%,"25,028","1,374","1,569","1,217",441,155,587,4.79,22.81,2.10,,,
"(1V02) (561) East Orange, NJ","14,826","13,520",91.19%,"1,306",8.81%,"11,833",761,926,722,247,90,247,13.80,16.27,2.17,,,
"Completed Appointment Wait Times National, Facility, and Division Level Summaries.
Wait Time Measured from Preferred Date For the Reporting Period Ending:  December 2020",Total Completed Appointments 1,Completed within 30 Days 2,Percent Appts Complete d in 30 Days or Less 3,Completed in Over 30 Days 4,Percent Appts Complete d in Over 30 Days 5,"Completed 0-7 Days
6","Completed 8-14
Days 7","Completed 15-30
Days 8","Completed 31-60
Days 9","Completed 61-90
Days 10","Completed 91-120
Days 11","Completed in more than 120
Days 12",PC Avg Wait Time in Days 13,SC Avg Wait Time in Days 14,MH Avg Wait Time in Days 15,,,
"(1V02) (561A4) Lyons, NJ","6,440","5,885",91.38%,555,8.62%,"5,323",275,287,245,106,30,174,2.00,34.44,1.95,,,
"(1V02) (561BZ) Brick, NJ (James J.
Howard)","4,247","3,800",89.47%,447,10.53%,"3,405",190,205,191,71,31,154,4.50,30.36,1.36,,,
"(1V02) (561GA) Hamilton, NJ",493,491,99.59%,2,0.41%,456,22,13,2,0,0,0,1.82,,0.65,,,
"(1V02) (561GD) Hackensack, NJ","1,384","1,375",99.35%,9,0.65%,"1,348",15,12,6,1,2,0,1.26,,0.32,,,
"(1V02) (561GE) Jersey City, NJ",272,272,100.00%,0,0.00%,264,5,3,0,0,0,0,0.46,,1.23,,,
"(1V02) (561GF) Piscataway, NJ",540,535,99.07%,5,0.93%,519,6,10,4,1,0,0,1.23,,0.67,,,
"(1V02) (561GH) Morristown, NJ",444,423,95.27%,21,4.73%,332,40,51,10,4,0,7,16.04,,1.19,,,
"(1V02) (561GI) Tinton Falls, NJ",997,947,94.98%,50,5.02%,867,31,49,32,11,2,5,4.54,,8.59,,,
"(1V02) (561GJ) Paterson, NJ",361,356,98.61%,5,1.39%,320,24,12,5,0,0,0,1.60,,3.64,,,
"(1V02) (561GK) Sussex, NJ",367,367,100.00%,0,0.00%,361,5,1,0,0,0,0,0.89,,,,,
"(1V02) (620) Hudson Valley, NY HCS","12,692","11,920",93.92%,772,6.08%,"10,668",602,650,446,150,65,111,5.39,10.53,1.00,,,
"(1V02) (620) Montrose, NY (Franklin Delano Roosevelt)","2,800","2,686",95.93%,114,4.07%,"2,464",108,114,60,28,7,19,4.21,9.51,1.34,,,
"(1V02) (620A4) Castle Point, NY","6,977","6,438",92.27%,539,7.73%,"5,652",379,407,315,105,47,72,8.29,10.97,0.77,,,
"(1V02) (620BU) Montrose, NY - VADOM",134,133,99.25%,1,0.75%,130,1,2,1,0,0,0,,17.50,,,,
"(1V02) (620GA) New City, NY",776,732,94.33%,44,5.67%,649,38,45,30,4,3,7,3.93,11.55,1.67,,,
"(1V02) (620GB) Carmel, NY",451,443,98.23%,8,1.77%,430,9,4,3,1,1,3,0.26,13.60,0.00,,,
"(1V02) (620GD) Goshen, NY",566,548,96.82%,18,3.18%,506,21,21,7,4,1,6,6.20,4.22,0.00,,,
"(1V02) (620GE) Port Jervis, NY",346,327,94.51%,19,5.49%,298,10,19,14,1,2,2,6.29,7.89,,,,
"(1V02) (620GF) Monticello, NY",253,233,92.09%,20,7.91%,210,9,14,10,7,2,1,6.14,19.22,,,,
"(1V02) (620GG) Poughkeepsie, NY",301,297,98.67%,4,1.33%,258,23,16,4,0,0,0,2.69,7.03,0.00,,,
"(1V02) (620GH) Eastern Dutchess, NY",88,83,94.32%,5,5.68%,71,4,8,2,0,2,1,4.74,15.54,,,,
(1V02) (630) New York Harbor HCS,"29,169","28,590",98.02%,579,1.98%,"26,439","1,096","1,055",397,114,32,36,2.43,3.93,0.29,,,
"(1V02) (630) Manhattan, NY","14,094","13,920",98.77%,174,1.23%,"12,903",509,508,130,17,16,11,1.96,2.66,0.10,,,
"(1V02) (630A4) Brooklyn, NY","12,814","12,501",97.56%,313,2.44%,"11,551",478,472,206,84,14,9,2.86,4.55,0.59,,,
"(1V02) (630A5) St. Albans, NY","1,408","1,350",95.88%,58,4.12%,"1,232",78,40,37,4,1,16,2.71,9.89,0.00,,,
"(1V02) (630BV) Brooklyn, NY - VADOM",33,33,100.00%,0,0.00%,33,0,0,0,0,0,0,,,,,,
"(1V02) (630GA) Harlem, NY",67,67,100.00%,0,0.00%,67,0,0,0,0,0,0,0.00,,0.00,,,
"(1V02) (630GB) Staten Island, NY",753,719,95.48%,34,4.52%,653,31,35,24,9,1,0,2.40,10.16,0.13,,,
"(1V02) (632) Northport, NY HCS","18,749","17,866",95.29%,883,4.71%,"16,224",779,863,548,146,70,119,4.63,8.92,2.20,,,
"(1V02) (632) Northport, NY","15,966","15,136",94.80%,830,5.20%,"13,627",722,787,507,141,67,115,6.03,9.15,2.13,,,
"(1V02) (632GA) East Meadow, NY",991,966,97.48%,25,2.52%,905,24,37,19,3,0,3,3.78,11.10,0.66,,,
"(1V02) (632HA) Valley Stream, NY",230,224,97.39%,6,2.61%,217,2,5,5,1,0,0,3.75,,0.00,,,
"(1V02) (632HB) Riverhead, NY",566,564,99.65%,2,0.35%,552,5,7,1,0,1,0,1.33,0.79,0.00,,,
"(1V02) (632HC) Bay Shore, NY",390,383,98.21%,7,1.79%,358,15,10,5,0,1,1,1.72,,4.80,,,
"(1V02) (632HD) Patchogue, NY",606,593,97.85%,13,2.15%,565,11,17,11,1,1,0,3.98,,3.45,,,
"(1V04) (460) Wilmington, DE HCS","15,361","13,838",90.09%,"1,523",9.91%,"11,910",856,"1,072",714,324,136,349,9.82,20.64,4.67,,,
"(1V04) (460) Wilmington, DE","10,210","9,107",89.20%,"1,103",10.80%,"7,855",509,743,479,249,119,256,10.99,20.34,2.35,,,
"(1V04) (460GA) Sussex County, DE","1,403","1,236",88.10%,167,11.90%,"1,010",127,99,95,34,8,30,13.64,26.88,10.28,,,
"(1V04) (460GC) Kent County, DE","1,006",905,89.96%,101,10.04%,799,62,44,38,18,6,39,10.97,47.57,13.70,,,
"(1V04) (460GD) Cape May County, NJ",358,340,94.97%,18,5.03%,311,17,12,11,2,1,4,5.32,8.93,7.90,,,
"(1V04) (460HE) Atlantic County, NJ","1,270","1,217",95.83%,53,4.17%,"1,042",80,95,37,11,1,4,3.10,14.28,5.74,,,
"(1V04) (460HG) Cumberland County, NJ","1,114","1,033",92.73%,81,7.27%,893,61,79,54,10,1,16,9.50,15.80,2.84,,,
"Completed Appointment Wait Times National, Facility, and Division Level Summaries.
Wait Time Measured from Preferred Date For the Reporting Period Ending:  December 2020",Total Completed Appointments 1,Completed within 30 Days 2,Percent Appts Complete d in 30 Days or Less 3,Completed in Over 30 Days 4,Percent Appts Complete d in Over 30 Days 5,"Completed 0-7 Days
6","Completed 8-14
Days 7","Completed 15-30
Days 8","Completed 31-60
Days 9","Completed 61-90
Days 10","Completed 91-120
Days 11","Completed in more than 120
Days 12",PC Avg Wait Time in Days 13,SC Avg Wait Time in Days 14,MH Avg Wait Time in Days 15,,,
"(1V04) (503) Altoona, PA HCS","15,982","15,545",97.27%,437,2.73%,"13,979",885,681,351,38,19,29,1.64,5.14,3.79,,,
"(1V04) (503) Altoona, PA (James E. Van Zandt)","9,274","8,924",96.23%,350,3.77%,"7,941",524,459,289,32,12,17,1.59,5.71,5.26,,,
"(1V04) (503GA) Johnstown, PA","2,005","1,980",98.75%,25,1.25%,"1,866",67,47,14,3,2,6,1.87,2.15,1.88,,,
"(1V04) (503GB) DuBois, PA","2,129","2,101",98.68%,28,1.32%,"1,877",139,85,19,3,2,4,1.67,6.28,1.51,,,
"(1V04) (503GC) State College, PA","1,770","1,744",98.53%,26,1.47%,"1,596",93,55,23,0,1,2,1.27,4.19,0.39,,,
"(1V04) (503GD) Huntingdon County, PA",370,367,99.19%,3,0.81%,327,23,17,3,0,0,0,1.54,3.27,2.16,,,
"(1V04) (503GE) Indiana County, PA",434,429,98.85%,5,1.15%,372,39,18,3,0,2,0,2.91,4.26,0.57,,,
"(1V04) (529) Butler, PA HCS","8,245","7,937",96.26%,308,3.74%,"7,375",275,287,156,29,30,93,0.64,11.64,2.68,,,
"(1V04) (529) Duffy Road, PA (Abie Abraham)","6,273","5,972",95.20%,301,4.80%,"5,493",232,247,149,29,30,93,0.70,12.22,2.57,,,
"(1V04) (529A4) New Castle Road, PA (Butler)",52,52,100.00%,0,0.00%,51,0,1,0,0,0,0,,0.00,0.57,,,
"(1V04) (529GA) Hermitage, PA (Michael A. Marzano)",593,591,99.66%,2,0.34%,560,19,12,2,0,0,0,0.46,2.14,2.76,,,
"(1V04) (529GB) Lawrence County, PA",278,278,100.00%,0,0.00%,264,8,6,0,0,0,0,0.15,0.22,2.98,,,
