facility,,Total Completed Appointments 1,,"Completed within 30
Days 2",,Percent Appts Complete d in 30 Days or Less 3,,Completed in Over 30 Days 4,,Percent Appts Complete d in Over 30 Days 5,,"Completed 06
-7 Days 6",,"Completed 8-14
Days 7",,"Completed 15-30
Days 8",,"Completed 31-60 Days
9",,"Completed 61-90
Days 10",,"Completed 91-120
Days 11",,Completed in more than 120 Days 12,,PC Avg Wait Time in Days 13,,SC Avg Wait Time in Days 14,,MH Avg Wait Time in Days 15,,,
"(1V01) (402HL) Bingham, ME - Mobile",,37,,34,,91.89%,,3,,8.11%,,32,,1,,1,,1,,1,,0,,1,,9.3,,,,,,,
"(1V01) (402QA) Fort Kent, ME",,30,,30,,100.00%,,0,,0.00%,,22,,2,,6,,0,,0,,0,,0,,6.7,,,,,,,
"(1V01) (402QB) Houlton, ME",,6,,6,,100.00%,,0,,0.00%,,5,,1,,0,,0,,0,,0,,0,,3.5,,,,,,,
"(1V01) (405) White River Junction, VT HCS",,"16,939",,"15,671",,92.51%,,"1,268",,7.49%,,"13,882",,867,,922,,697,,267,,154,,150,,7.23,,12.02,,0.77,,,
"(1V01) (405) White River Junction, VT",,"11,386",,"10,506",,92.27%,,880,,7.73%,,"9,284",,618,,604,,457,,189,,115,,119,,6.95,,11.82,,0.52,,,
"(1V01) (405GA) Bennington, VT",,814,,802,,98.53%,,12,,1.47%,,746,,28,,28,,10,,2,,0,,0,,3.31,,0,,1.16,,,
"(1V01) (405GC) Brattleboro, VT",,396,,389,,98.23%,,7,,1.77%,,367,,9,,13,,5,,2,,0,,0,,2.28,,4,,0.13,,,
"(1V01) (405HA) Burlington Lakeside, VT",,"2,364",,"2,130",,90.10%,,234,,9.90%,,"1,871",,121,,138,,123,,57,,30,,24,,13.55,,13.55,,0.67,,,
"(1V01) (405HC) Littleton, NH",,857,,760,,88.68%,,97,,11.32%,,659,,39,,62,,73,,12,,7,,5,,8.99,,17.94,,0.65,,,
"(1V01) (405HE) Keene, NH",,276,,263,,95.29%,,13,,4.71%,,240,,10,,13,,10,,0,,2,,1,,6.14,,3.65,,0.77,,,
"(1V01) (405HF) Rutland, VT",,606,,587,,96.86%,,19,,3.14%,,507,,32,,48,,18,,0,,0,,1,,3.37,,10.63,,3.84,,,
"(1V01) (405QB) Newport, VT",,240,,234,,97.50%,,6,,2.50%,,208,,10,,16,,1,,5,,0,,0,,5.31,,4.07,,0,,,
"(1V01) (518) Bedford, MA HCS",,"10,240",,"9,549",,93.25%,,691,,6.75%,,"8,332",,586,,631,,479,,139,,35,,38,,6.33,,11.27,,2.9,,,
"(1V01) (518) Bedford, MA (Edith Nourse Rogers)",,"8,965",,"8,336",,92.98%,,629,,7.02%,,"7,272",,500,,564,,434,,126,,34,,35,,6.85,,11.39,,2.66,,,
"(1V01) (518GA) Lynn, MA",,447,,424,,94.85%,,23,,5.15%,,359,,31,,34,,17,,4,,1,,1,,5.58,,4.65,,6.45,,,
"(1V01) (518GB) Haverhill, MA",,536,,515,,96.08%,,21,,3.92%,,458,,38,,19,,16,,3,,0,,2,,5.48,,7.46,,2.41,,,
"(1V01) (518GE) Gloucester, MA",,292,,274,,93.84%,,18,,6.16%,,243,,17,,14,,12,,6,,0,,0,,5.04,,9.05,,2.43,,,
"(1V01) (523) Boston, MA HCS",,"38,721",,"36,751",,94.91%,,"1,970",,5.09%,,"31,527",,"2,546",,"2,678",,"1,323",,331,,136,,180,,6.09,,9,,2.94,,,
"(1V01) (523) Jamaica Plain, MA",,"16,995",,"16,147",,95.01%,,848,,4.99%,,"13,701",,"1,205",,"1,241",,578,,126,,60,,84,,5.05,,8.43,,2.53,,,
"(1V01) (523A4) West Roxbury, MA",,"6,330",,"5,909",,93.35%,,421,,6.65%,,"4,896",,457,,556,,290,,69,,28,,34,,10.12,,10.2,,3.94,,,
"(1V01) (523A5) Brockton, MA",,"9,972",,"9,480",,95.07%,,492,,4.93%,,"8,278",,579,,623,,332,,98,,26,,36,,4.78,,9.73,,2.75,,,
"(1V01) (523BY) Lowell, MA",,"1,939",,"1,846",,95.20%,,93,,4.80%,,"1,589",,130,,127,,73,,11,,3,,6,,4.38,,8.51,,3.04,,,
"(1V01) (523BZ) Causeway, MA",,"2,575",,"2,503",,97.20%,,72,,2.80%,,"2,390",,68,,45,,23,,21,,14,,14,,3.61,,3.75,,2.96,,,
"(1V01) (523GA) Framingham, MA",,342,,331,,96.78%,,11,,3.22%,,262,,49,,20,,1,,4,,2,,4,,6.11,,9.84,,16.52,,,
"(1V01) (523GC) Quincy, MA",,221,,217,,98.19%,,4,,1.81%,,194,,10,,13,,3,,0,,1,,0,,2.88,,7.55,,,,,
"(1V01) (523GD) Plymouth, MA",,342,,313,,91.52%,,29,,8.48%,,216,,44,,53,,23,,2,,2,,2,,13.8,,20.72,,,,,
(1V01) (523MA) IDES Hanscom AFB,,5,,5,,100.00%,,0,,0.00%,,1,,4,,0,,0,,0,,0,,0,,,,7.75,,10,,,
"(1V01) (608) Manchester, NH HCS",,"15,179",,"13,921",,91.71%,,"1,258",,8.29%,,"11,451",,"1,156",,"1,314",,813,,295,,98,,52,,6.49,,11.29,,6.13,,,
"(1V01) (608) Manchester, NH",,"13,511",,"12,429",,91.99%,,"1,082",,8.01%,,"10,323",,997,,"1,109",,672,,269,,93,,48,,5.15,,11.27,,4.69,,,
"(1V01) (608GA) Portsmouth, NH",,429,,390,,90.91%,,39,,9.09%,,299,,44,,47,,34,,2,,1,,2,,7.06,,20.92,,10.12,,,
"(1V01) (608GC) Somersworth, NH",,598,,509,,85.12%,,89,,14.88%,,372,,60,,77,,62,,22,,4,,1,,14.57,,11.11,,10.23,,,
"(1V01) (608GD) Conway, NH",,228,,222,,97.37%,,6,,2.63%,,192,,17,,13,,5,,0,,0,,1,,5.92,,8.5,,3.09,,,
"(1V01) (608HA) Tilton, NH",,413,,371,,89.83%,,42,,10.17%,,265,,38,,68,,40,,2,,0,,0,,7.03,,6,,14.34,,,
(1V01) (631) Central Western Massachusetts HCS,,"18,042",,"17,070",,94.61%,,972,,5.39%,,"14,995",,"1,069",,"1,006",,581,,200,,73,,118,,6.65,,8.53,,5.64,,,
"(1V01) (631) Central Western Massachusetts, MA (Edward P. Boland)",,"8,062",,"7,599",,94.26%,,463,,5.74%,,"6,672",,473,,454,,276,,96,,40,,51,,4.69,,10.83,,3.31,,,
"(1V01) (631BY) Springfield, MA",,"3,675",,"3,471",,94.45%,,204,,5.55%,,"3,103",,189,,179,,121,,42,,17,,24,,8.28,,6.03,,7.22,,,
"(1V01) (631GC) Pittsfield, MA",,553,,519,,93.85%,,34,,6.15%,,448,,41,,30,,17,,12,,1,,4,,8.7,,4.6,,4.01,,,
"(1V01) (631GD) Greenfield, MA",,656,,624,,95.12%,,32,,4.88%,,548,,41,,35,,24,,4,,1,,3,,5.69,,4.31,,4.98,,,
"(1V01) (631GE) Worcester, MA",,"1,632",,"1,576",,96.57%,,56,,3.43%,,"1,316",,114,,146,,34,,16,,2,,4,,6.18,,4.2,,2.97,,,
"(1V01) (631GF) Fitchburg, MA",,759,,718,,94.60%,,41,,5.40%,,591,,63,,64,,31,,7,,0,,3,,8.19,,0,,8.29,,,
(1V01) (631MA) IDES Keller Army Community Hospital,,6,,6,,100.00%,,0,,0.00%,,6,,0,,0,,0,,0,,0,,0,,,,2.25,,4.5,,,
(1V01) (631PA) 631PA,,2,,2,,100.00%,,0,,0.00%,,2,,0,,0,,0,,0,,0,,0,,,,,,,,,
"Completed Appointment Wait Times National, Facility, and Division Level Summaries. Wait Time Measured from Preferred Date For the Reporting Period Ending: December 2019",,Total Completed Appointments 1,,"Completed within 30
Days 2",,Percent Appts Complete d in 30 Days or Less 3,,Completed in Over 30 Days 4,,Percent Appts Complete d in Over 30 Days 5,,"Completed 06
-7 Days 6",,"Completed 8-14
Days 7",,"Completed 15-30
Days 8",,"Completed 31-60 Days
9",,"Completed 61-90
Days 10",,"Completed 91-120
Days 11",,Completed in more than 120 Days 12,,PC Avg Wait Time in Days 13,,SC Avg Wait Time in Days 14,,MH Avg Wait Time in Days 15,,,
"(1V01) (631QA) Plantation Street, MA",,"1,827",,"1,757",,96.17%,,70,,3.83%,,"1,619",,90,,48,,32,,11,,8,,19,,,,5.74,,,,,
"(1V01) (631QB) Lake Avenue, MA",,870,,798,,91.72%,,72,,8.28%,,690,,58,,50,,46,,12,,4,,10,,,,7.79,,9.05,,,
"(1V01) (650) Providence, RI HCS",,"27,914",,"26,883",,96.31%,,"1,031",,3.69%,,"23,127",,"1,774",,"1,982",,774,,182,,41,,34,,6.34,,6.1,,2.76,,,
"(1V01) (650) Providence, RI",,"19,901",,"19,222",,96.59%,,679,,3.41%,,"16,668",,"1,202",,"1,352",,482,,143,,32,,22,,6.83,,6.71,,2.32,,,
"(1V01) (650GA) New Bedford, MA",,"1,641",,"1,514",,92.26%,,127,,7.74%,,"1,318",,101,,95,,97,,19,,6,,5,,3.77,,9.74,,7.51,,,
"(1V01) (650GB) Hyannis, MA",,"1,148",,"1,074",,93.55%,,74,,6.45%,,908,,70,,96,,59,,6,,2,,7,,7.59,,13.69,,3.23,,,
"(1V01) (650GD) Middletown, RI",,620,,594,,95.81%,,26,,4.19%,,521,,45,,28,,19,,7,,0,,0,,5.32,,4.88,,2.9,,,
"(1V01) (650QA) Eagle Square, RI",,"3,403",,"3,340",,98.15%,,63,,1.85%,,"2,859",,265,,216,,56,,6,,1,,0,,,,3.7,,0.94,,,
"(1V01) (650QB) Eagle Street, RI",,"1,201",,"1,139",,94.84%,,62,,5.16%,,853,,91,,195,,61,,1,,0,,0,,,,6.76,,,,,
(1V01) (689) Connecticut HCS,,"43,840",,"42,452",,96.83%,,"1,388",,3.17%,,"37,372",,"2,330",,"2,750",,"1,139",,167,,49,,33,,3.39,,6.24,,3.46,,,
"(1V01) (689) West Haven, CT",,"22,849",,"22,070",,96.59%,,779,,3.41%,,"19,158",,"1,299",,"1,613",,668,,73,,21,,17,,3.96,,6.2,,2.81,,,
"(1V01) (689A4) Newington, CT",,"14,140",,"13,575",,96.00%,,565,,4.00%,,"11,761",,817,,997,,440,,87,,26,,12,,3.6,,6.29,,4,,,
"(1V01) (689GA) Waterbury, CT",,533,,530,,99.44%,,3,,0.56%,,506,,12,,12,,2,,0,,0,,1,,1.78,,18,,2.94,,,
"(1V01) (689GB) Stamford, CT",,260,,258,,99.23%,,2,,0.77%,,244,,6,,8,,0,,1,,1,,0,,2.1,,,,1.86,,,
"(1V01) (689GC) Willimantic, CT",,410,,401,,97.80%,,9,,2.20%,,332,,39,,30,,7,,1,,0,,1,,3.31,,67.33,,9.15,,,
"(1V01) (689GD) Winsted, CT",,360,,359,,99.72%,,1,,0.28%,,338,,13,,8,,0,,1,,0,,0,,1.45,,0,,1.23,,,
"(1V01) (689GE) Danbury, CT",,510,,505,,99.02%,,5,,0.98%,,467,,26,,12,,2,,2,,1,,0,,1.85,,0,,4.21,,,
"(1V01) (689HA) WILLIAMATIC, CT (ORC)",,9,,9,,100.00%,,0,,0.00%,,5,,3,,1,,0,,0,,0,,0,,,,,,7,,,
"(1V01) (689HC) New London, CT (John J. McGuirk)",,"1,341",,"1,318",,98.28%,,23,,1.72%,,"1,196",,61,,61,,20,,2,,0,,1,,2.61,,0,,5.35,,,
"(1V01) (689QA) Errera, CT",,"3,428",,"3,427",,99.97%,,1,,0.03%,,"3,365",,54,,8,,0,,0,,0,,1,,6.09,,0,,5.48,,,
"(1V02) (528A8) Albany, NY HCS",,"19,159",,"18,266",,95.34%,,893,,4.66%,,"16,150",,"1,062",,"1,054",,582,,157,,75,,79,,5.96,,6.13,,6.38,,,
"(1V02) (528A8) Albany, NY (Samuel S. Stratton)",,"15,370",,"14,615",,95.09%,,755,,4.91%,,"12,892",,828,,895,,488,,136,,65,,66,,7.98,,6.14,,6.93,,,
"(1V02) (528G2) Westport, NY",,163,,157,,96.32%,,6,,3.68%,,152,,4,,1,,5,,0,,1,,0,,2.47,,2.14,,6.04,,,
"(1V02) (528G3) Bainbridge, NY",,315,,294,,93.33%,,21,,6.67%,,263,,13,,18,,11,,5,,2,,3,,7.8,,1.33,,4.95,,,
"(1V02) (528G6) Fonda, NY",,274,,260,,94.89%,,14,,5.11%,,233,,16,,11,,9,,2,,1,,2,,6.29,,24.29,,3.57,,,
"(1V02) (528G7) Catskill, NY",,299,,292,,97.66%,,7,,2.34%,,253,,22,,17,,5,,2,,0,,0,,3.47,,5.38,,4.66,,,
"(1V02) (528GT) Glens Falls, NY",,632,,604,,95.57%,,28,,4.43%,,543,,39,,22,,20,,1,,4,,3,,5.62,,0,,7.08,,,
"(1V02) (528GV) Plattsburgh, NY",,561,,553,,98.57%,,8,,1.43%,,452,,65,,36,,6,,0,,1,,1,,4.54,,1.2,,4.9,,,
"(1V02) (528GW) Schenectady, NY",,367,,344,,93.73%,,23,,6.27%,,299,,24,,21,,17,,3,,0,,3,,7.9,,0,,4.03,,,
"(1V02) (528GX) Troy, NY",,228,,222,,97.37%,,6,,2.63%,,200,,12,,10,,5,,1,,0,,0,,3.36,,0,,0.39,,,
"(1V02) (528GY) Clifton Park, NY",,323,,313,,96.90%,,10,,3.10%,,286,,17,,10,,6,,3,,0,,1,,4.76,,6.2,,0,,,
"(1V02) (528GZ) Kingston, NY",,415,,403,,97.11%,,12,,2.89%,,383,,13,,7,,9,,3,,0,,0,,1.79,,8.29,,4.01,,,
"(1V02) (528QK) Saranac Lake, NY",,212,,209,,98.58%,,3,,1.42%,,194,,9,,6,,1,,1,,1,,0,,2.47,,5.38,,2.48,,,
"(1V02) (528A6) Bath, NY HCS",,"25,348",,"24,463",,96.51%,,885,,3.49%,,"21,458",,"1,461",,"1,544",,685,,140,,30,,30,,5.09,,6.99,,4.08,,,
"(1V02) (528A5) Canandaigua, NY",,"5,413",,"5,218",,96.40%,,195,,3.60%,,"4,487",,328,,403,,147,,39,,6,,3,,3.93,,6.51,,4.5,,,
"(1V02) (528A6) Bath, NY",,"10,790",,"10,556",,97.83%,,234,,2.17%,,"9,738",,410,,408,,187,,28,,4,,15,,4.28,,8.07,,1.25,,,
"(1V02) (528G4) Elmira, NY",,845,,841,,99.53%,,4,,0.47%,,703,,94,,44,,3,,0,,0,,1,,4.08,,5.04,,0.62,,,
"(1V02) (528G8) Wellsville, NY",,363,,361,,99.45%,,2,,0.55%,,324,,22,,15,,1,,1,,0,,0,,2.46,,2.84,,0.4,,,
"(1V02) (528GE) Rochester, NY",,"1,421",,"1,383",,97.33%,,38,,2.67%,,"1,186",,87,,110,,34,,3,,0,,1,,0,,3.05,,4.32,,,
"(1V02) (528QC) Rochester Calkins, NY",,"6,251",,"5,871",,93.92%,,380,,6.08%,,"4,841",,501,,529,,288,,64,,19,,9,,5.74,,7.02,,7.5,,,
"(1V02) (528QE) Coudersport, PA",,91,,77,,84.62%,,14,,15.38%,,59,,8,,10,,12,,1,,0,,1,,12.11,,,,,,,
"(1V02) (528QF) Wellsboro, PA",,174,,156,,89.66%,,18,,10.34%,,120,,11,,25,,13,,4,,1,,0,,9.96,,2.2,,0.5,,,
(1V02) (528) Western New York HCS,,"30,523",,"29,376",,96.24%,,"1,147",,3.76%,,"26,155",,"1,614",,"1,607",,830,,183,,64,,70,,3.61,,5.9,,6.71,,,
"(1V02) (528) Buffalo, NY",,"23,199",,"22,157",,95.51%,,"1,042",,4.49%,,"19,421",,"1,349",,"1,387",,747,,174,,63,,58,,4.57,,6.13,,8.21,,,
"(1V02) (528A4) Batavia, NY",,"2,701",,"2,655",,98.30%,,46,,1.70%,,"2,427",,116,,112,,41,,4,,0,,1,,2.57,,2.99,,3.65,,,
"(1V02) (528GB) Jamestown, NY",,609,,602,,98.85%,,7,,1.15%,,564,,18,,20,,6,,1,,0,,0,,1.42,,2.69,,4.06,,,
"(1V02) (528GC) Dunkirk, NY",,536,,529,,98.69%,,7,,1.31%,,508,,11,,10,,6,,0,,0,,1,,0.59,,4.67,,5.27,,,
"(1V02) (528GD) Niagara Falls, NY",,434,,422,,97.24%,,12,,2.76%,,363,,37,,22,,7,,1,,1,,3,,5.05,,7.83,,4.3,,,
"(1V02) (528GK) Lockport, NY",,368,,364,,98.91%,,4,,1.09%,,334,,22,,8,,3,,0,,0,,1,,3.19,,0,,3.69,,,
"(1V02) (528GQ) Lackawanna, NY",,721,,710,,98.47%,,11,,1.53%,,660,,28,,22,,7,,0,,0,,4,,3.75,,2.75,,3.11,,,
"(1V02) (528GR) Olean, NY",,642,,625,,97.35%,,17,,2.65%,,570,,31,,24,,13,,3,,0,,1,,3.54,,6.53,,1.99,,,
"(1V02) (528QA) Buffalo Main Street, NY",,951,,950,,99.89%,,1,,0.11%,,947,,1,,2,,0,,0,,0,,1,,,,,,,,,
"(1V02) (528QB) Packard, NY",,362,,362,,100.00%,,0,,0.00%,,361,,1,,0,,0,,0,,0,,0,,2.17,,,,,,,
"Completed Appointment Wait Times National, Facility, and Division Level Summaries. Wait Time Measured from Preferred Date For the Reporting Period Ending: December 2019",,Total Completed Appointments 1,,"Completed within 30
Days 2",,Percent Appts Complete d in 30 Days or Less 3,,Completed in Over 30 Days 4,,Percent Appts Complete d in Over 30 Days 5,,"Completed 06
-7 Days 6",,"Completed 8-14
Days 7",,"Completed 15-30
Days 8",,"Completed 31-60 Days
9",,"Completed 61-90
Days 10",,"Completed 91-120
Days 11",,Completed in more than 120 Days 12,,PC Avg Wait Time in Days 13,,SC Avg Wait Time in Days 14,,MH Avg Wait Time in Days 15,,,
"(1V02) (528A7) Syracuse, NY HCS",,"31,745",,"30,058",,94.69%,,"1,687",,5.31%,,"26,299",,"1,837",,"1,922",,"1,033",,367,,125,,162,,2.65,,9.5,,3.79,,,
"(1V02) (528A7) Syracuse, NY",,"16,569",,"15,464",,93.33%,,"1,105",,6.67%,,"13,179",,"1,057",,"1,228",,694,,210,,84,,117,,2.91,,9.43,,3.34,,,
"(1V02) (528G5) Auburn, NY",,414,,404,,97.58%,,10,,2.42%,,316,,46,,42,,7,,3,,0,,0,,5.09,,28.73,,3.81,,,
"(1V02) (528G9) Tompkins County, NY",,615,,606,,98.54%,,9,,1.46%,,542,,36,,28,,7,,2,,0,,0,,1.8,,4.24,,8.29,,,
"(1V02) (528GL) Massena, NY",,947,,938,,99.05%,,9,,0.95%,,847,,50,,41,,7,,2,,0,,0,,3.11,,4.94,,1.78,,,
"(1V02) (528GM) Rome, NY (Donald J. Mitchell)",,"3,744",,"3,600",,96.15%,,144,,3.85%,,"3,238",,187,,175,,58,,72,,7,,7,,3.09,,9.06,,3.19,,,
"(1V02) (528GN) Binghamton, NY",,"2,442",,"2,398",,98.20%,,44,,1.80%,,"2,152",,140,,106,,27,,8,,3,,6,,1.87,,4.44,,3.33,,,
"(1V02) (528GO) Watertown, NY",,"1,411",,"1,356",,96.10%,,55,,3.90%,,"1,202",,65,,89,,38,,14,,2,,1,,1.29,,11.27,,8.64,,,
"(1V02) (528GP) Oswego, NY",,558,,547,,98.03%,,11,,1.97%,,487,,37,,23,,9,,0,,1,,1,,2.93,,12.52,,3.71,,,
(1V02) (528MA) Watertown DES,,7,,7,,100.00%,,0,,0.00%,,6,,1,,0,,0,,0,,0,,0,,,,1.29,,,,,
"(1V02) (528QG) Erie West, NY",,"2,479",,"2,419",,97.58%,,60,,2.42%,,"2,259",,88,,72,,50,,6,,1,,3,,,,0.95,,3.07,,,
"(1V02) (528QH) South Salina, NY",,608,,607,,99.84%,,1,,0.16%,,580,,20,,7,,0,,0,,0,,1,,,,,,,,,
"(1V02) (528QI) Erie East, NY",,885,,685,,77.40%,,200,,22.60%,,541,,73,,71,,101,,46,,27,,26,,,,20.21,,,,,
"(1V02) (528QN) Watertown 2, NY",,"1,066",,"1,027",,96.34%,,39,,3.66%,,950,,37,,40,,35,,4,,0,,0,,,,3.98,,2.95,,,
"(1V02) (526) Bronx, NY HCS",,"20,289",,"19,756",,97.37%,,533,,2.63%,,"18,048",,778,,930,,387,,63,,37,,46,,5.54,,5.41,,0.78,,,
"(1V02) (526) Bronx, NY (James J. Peters)",,"19,673",,"19,161",,97.40%,,512,,2.60%,,"17,502",,759,,900,,370,,60,,36,,46,,5.84,,5.4,,0.63,,,
"(1V02) (526GA) White Plains, NY",,315,,306,,97.14%,,9,,2.86%,,284,,9,,13,,7,,2,,0,,0,,2.81,,5.67,,4.56,,,
"(1V02) (526GB) Yonkers, NY",,216,,213,,98.61%,,3,,1.39%,,201,,7,,5,,2,,0,,1,,0,,1.84,,15.67,,0,,,
"(1V02) (526GD) Sunnyside, NY (Thomas P. Noonan Jr.)",,85,,76,,89.41%,,9,,10.59%,,61,,3,,12,,8,,1,,0,,0,,7.6,,,,0,,,
(1V02) (561) New Jersey HCS,,"37,630",,"35,244",,93.66%,,"2,386",,6.34%,,"30,599",,"1,975",,"2,670",,"1,713",,403,,128,,142,,3.45,,10.47,,3.76,,,
"(1V02) (561) East Orange, NJ",,"19,058",,"17,615",,92.43%,,"1,443",,7.57%,,"14,947",,"1,065",,"1,603",,"1,056",,193,,90,,104,,3.79,,10.21,,5.55,,,
"(1V02) (561A4) Lyons, NJ",,"7,303",,"6,846",,93.74%,,457,,6.26%,,"5,933",,405,,508,,310,,119,,12,,16,,1.33,,11.57,,3.19,,,
"(1V02) (561BZ) Brick, NJ (James J. Howard)",,"5,713",,"5,349",,93.63%,,364,,6.37%,,"4,706",,284,,359,,259,,77,,17,,11,,4.65,,10.82,,2.56,,,
"(1V02) (561GA) Hamilton, NJ",,555,,527,,94.95%,,28,,5.05%,,437,,48,,42,,18,,4,,1,,5,,9.35,,11.43,,6.64,,,
"(1V02) (561GB) Elizabeth, NJ",,223,,221,,99.10%,,2,,0.90%,,210,,7,,4,,1,,0,,0,,1,,5.3,,,,1.1,,,
"(1V02) (561GD) Hackensack, NJ",,"1,837",,"1,808",,98.42%,,29,,1.58%,,"1,693",,69,,46,,26,,2,,0,,1,,2.31,,5.28,,1.77,,,
"(1V02) (561GE) Jersey City, NJ",,271,,269,,99.26%,,2,,0.74%,,257,,6,,6,,1,,0,,1,,0,,0.8,,14,,2.41,,,
"(1V02) (561GF) Piscataway, NJ",,576,,571,,99.13%,,5,,0.87%,,554,,5,,12,,5,,0,,0,,0,,0.94,,14.75,,2.33,,,
"(1V02) (561GH) Morristown, NJ",,355,,346,,97.46%,,9,,2.54%,,292,,23,,31,,7,,1,,1,,0,,5.19,,5,,3.83,,,
"(1V02) (561GI) Tinton Falls, NJ",,"1,091",,"1,052",,96.43%,,39,,3.57%,,973,,39,,40,,24,,6,,5,,4,,2.75,,4.62,,5.78,,,
"(1V02) (561GJ) Paterson, NJ",,324,,321,,99.07%,,3,,0.93%,,289,,21,,11,,3,,0,,0,,0,,2.28,,7.56,,1.9,,,
"(1V02) (561GK) Sussex, NJ",,324,,319,,98.46%,,5,,1.54%,,308,,3,,8,,3,,1,,1,,0,,0.52,,7.33,,11.33,,,
"(1V02) (620) Hudson Valley, NY HCS",,"18,198",,"17,593",,96.68%,,605,,3.32%,,"15,707",,980,,906,,482,,81,,24,,18,,3.33,,4.67,,3.18,,,
"(1V02) (620) Montrose, NY (Franklin Delano Roosevelt)",,"4,529",,"4,398",,97.11%,,131,,2.89%,,"4,050",,173,,175,,105,,19,,6,,1,,3.42,,4.15,,4.22,,,
"(1V02) (620A4) Castle Point, NY",,"9,153",,"8,794",,96.08%,,359,,3.92%,,"7,724",,533,,537,,288,,46,,13,,12,,3.14,,4.97,,2.15,,,
"(1V02) (620BU) Montrose, NY - VADOM",,33,,33,,100.00%,,0,,0.00%,,33,,0,,0,,0,,0,,0,,0,,,,,,,,,
"(1V02) (620GA) New City, NY",,"1,252",,"1,215",,97.04%,,37,,2.96%,,"1,063",,85,,67,,27,,5,,3,,2,,5.61,,3.23,,4.44,,,
"(1V02) (620GB) Carmel, NY",,583,,564,,96.74%,,19,,3.26%,,531,,24,,9,,17,,1,,1,,0,,1.66,,3.03,,6.65,,,
"(1V02) (620GD) Goshen, NY",,920,,906,,98.48%,,14,,1.52%,,818,,51,,37,,7,,5,,0,,2,,2.24,,4.72,,1.23,,,
"(1V02) (620GE) Port Jervis, NY",,671,,660,,98.36%,,11,,1.64%,,579,,57,,24,,10,,1,,0,,0,,3.12,,4.66,,2.34,,,
"(1V02) (620GF) Monticello, NY",,391,,378,,96.68%,,13,,3.32%,,343,,18,,17,,11,,1,,1,,0,,1.95,,6.28,,8.47,,,
"(1V02) (620GG) Poughkeepsie, NY",,521,,505,,96.93%,,16,,3.07%,,452,,32,,21,,13,,3,,0,,0,,2.72,,7.42,,0.31,,,
"(1V02) (620GH) Eastern Dutchess, NY",,131,,126,,96.18%,,5,,3.82%,,105,,7,,14,,4,,0,,0,,1,,11.95,,4.39,,0,,,
(1V02) (620MA) IDES West Point,,6,,6,,100.00%,,0,,0.00%,,6,,0,,0,,0,,0,,0,,0,,,,0,,0,,,
"(1V02) (620QA) Montrose 1, NY - Mobile",,8,,8,,100.00%,,0,,0.00%,,3,,0,,5,,0,,0,,0,,0,,,,,,,,,
(1V02) (630) New York Harbor HCS,,"42,733",,"41,612",,97.38%,,"1,121",,2.62%,,"37,093",,"2,103",,"2,416",,932,,159,,16,,14,,5.51,,4.36,,1.26,,,
"(1V02) (630) Manhattan, NY",,"18,771",,"18,316",,97.58%,,455,,2.42%,,"16,185",,937,,"1,194",,390,,50,,8,,7,,6.07,,3.87,,1.25,,,
"(1V02) (630A4) Brooklyn, NY",,"19,847",,"19,258",,97.03%,,589,,2.97%,,"17,315",,890,,"1,053",,477,,97,,8,,7,,5.61,,4.92,,1.34,,,
