facility,"Total Completed
Appointments 1","Completed within
30 Days 2",,,"Percent
Appts
Complete
d in 30
Days or
Less 3","Completed in
Over 30 Days 4","Percent
Appts
Complete
d in Over
30 Days 5","Completed 0-7 Days
6",,"Completed 8-14
Days 7","Completed 15-30
Days 8","Completed 31-60
Days 9","Completed 61-90
Days 10","Completed 91-120
Days 11","Completed in
more than 120
Days 12","PC Avg
Wait Time
in Days
13","SC Avg
Wait Time
in Days
14","MH Avg
Wait Time
in Days
15",
(V02) (528G3) Bainbridge,,329,322,,,97.87%,7,2.13%,318,,4,0,3,4,0,0,2.10,0.00,0,
(V02) (528G6) Fonda,,272,271,,,99.63%,1,0.37%,260,,8,3,1,0,0,0,1,6,0.00,
(V02) (528G7) Catskill,,293,289,,,98.63%,4,1.37%,249,,31,9,4,0,0,0,3,0.00,9,
(V02) (528GT) Glens Falls,,708,708,,,100.00%,0,0.00%,698,,9,1,0,0,0,0,1,0.40,0.00,
(V02) (528GV) Plattsburgh,,582,582,,,100.00%,0,0.00%,463,,83,36,0,0,0,0,5,0,0,
(V02) (528GW) Schenectady,,410,410,,,100.00%,0,0.00%,396,,9,5,0,0,0,0,0,0.00,5,
(V02) (528GX) Troy,,283,283,,,100.00%,0,0.00%,243,,36,4,0,0,0,0,3,,4,
(V02) (528GY) Clifton Park,,340,328,,,96.47%,12,3.53%,268,,29,31,11,1,0,0,5.10,0.00,15.00,
(V02) (528GZ) Kingston,,467,467,,,100.00%,0,0.00%,417,,34,16,0,0,0,0,0,0.00,6,
"(V02) (528) Bath, NY",,"13,441","13,284",,,98.83%,157,1.17%,"12,190",,563,531,118,30,6,3,3,5,3,
"(V02) (528A6) Bath VA Medical
Center",,"12,002","11,847",,,98.71%,155,1.29%,"10,971",,453,423,118,28,6,3,2,5,4,
(V02) (528G4) Elmira,,971,969,,,99.79%,2,0.21%,810,,88,71,0,2,0,0,5,4,1,
(V02) (528G8) Wellsville,,468,468,,,100.00%,0,0.00%,409,,22,37,0,0,0,0,4,2,1,
"(V02) (528) Western New York, NY",,"35,810","34,838",,,97.29%,972,2.71%,"31,849",,"1,562","1,427",845,107,17,3,5,4,2.70,
"(V02) (528) Buffalo VA Medical
Center",,"28,077","27,197",,,96.87%,880,3.13%,"24,809",,"1,183","1,205",756,104,17,3,8,4,3,
"(V02) (528A4) Upstate New York
HCS-Batavia",,"3,844","3,766",,,97.97%,78,2.03%,"3,444",,177,145,76,2,0,0,4,4,2,
(V02) (528GB) Jamestown,,836,832,,,99.52%,4,0.48%,786,,23,23,4,0,0,0,0.60,1,4,
,,,,,,,,,,,,,,,,,,,,
"Completed Appointment Wait Times National,
Facility, and Division Level Summaries.
Wait Time Measured from Preferred Date
For the Reporting Period Ending: December
2015",,"Total Completed
Appointments 1","Completed within
30 Days 2",,,"Percent
Appts
Complete
d in 30
Days or
Less 3","Completed in
Over 30 Days 4","Percent
Appts
Complete
d in Over
30 Days 5","Completed 0-7 Days
6",,"Completed 8-14
Days 7","Completed 15-30
Days 8","Completed 31-60
Days 9","Completed 61-90
Days 10","Completed 91-120
Days 11","Completed in
more than 120
Days 12","PC Avg
Wait Time
in Days
13","SC Avg
Wait Time
in Days
14","MH Avg
Wait Time
in Days
15",
(V02) (528GC) Dunkirk,,537,536,,,99.81%,1,0.19%,502,,23,11,1,0,0,0,1,0.00,4,
(V02) (528GD) Niagara Falls,,480,473,,,98.54%,7,1.46%,452,,14,7,7,0,0,0,2,1,4,
(V02) (528GK) Lockport,,420,419,,,99.76%,1,0.24%,405,,11,3,1,0,0,0,1.40,0.00,5,
(V02) (528GQ) Lackawanna,,907,907,,,100.00%,0,0.00%,784,,104,19,0,0,0,0,3,0.00,1.40,
(V02) (528GR) Olean,,709,708,,,99.86%,1,0.14%,667,,27,14,0,1,0,0,2,1,2,
"(V02) (528) Canandaigua, NY",,"12,728","12,303",,,96.66%,425,3.34%,"10,391",,853,"1,059",361,53,6,5,7,6,2,
"(V02) (528A5) Canandaigua VA
Medical Center",,"5,662","5,526",,,97.60%,136,2.40%,"4,797",,291,438,103,24,4,5,5,7,2,
(V02) (528GE) Rochester,,"7,066","6,777",,,95.91%,289,4.09%,"5,594",,562,621,258,29,2,0,8.50,5,3,
"(V02) (528) Syracuse, NY",,"31,493","30,467",,,96.74%,"1,026",3.26%,"26,759",,"1,937","1,771",685,267,54,20,4,6,3,
"(V02) (528A7) Syracuse VA Medical
Center",,"20,763","20,029",,,96.46%,734,3.54%,"17,945",,"1,066","1,018",444,230,42,18,2,7,2,
(V02) (528G5) Auburn,,550,550,,,100.00%,0,0.00%,528,,20,2,0,0,0,0,1,0.00,1,
(V02) (528G9) Tompkins County,,849,847,,,99.76%,2,0.24%,779,,41,27,0,2,0,0,2,2,2,
(V02) (528GL) Massena,,975,876,,,89.85%,99,10.15%,650,,125,101,74,14,9,2,12,24,6,
"(V02) (528GM) Donald J Mitchell VA
OPC",,"3,494","3,449",,,98.71%,45,1.29%,"2,914",,277,258,42,3,0,0,4,5,4,
(V02) (528GN) Binghamton,,"2,010","1,966",,,97.81%,44,2.19%,"1,696",,127,143,43,1,0,0,3,6.40,1,
(V02) (528GO) Watertown,,"2,112","2,011",,,95.22%,101,4.78%,"1,589",,225,197,81,17,3,0,7,7,6,
(V02) (528GP) Oswego,,632,631,,,99.84%,1,0.16%,550,,56,25,1,0,0,0,3,4,2.60,
(V02) (528MA) Watertown DES,,60,60,,,100.00%,0,0.00%,60,,0,0,0,0,0,0,,0.00,,
(V02) (528QN) Watertown 2,,48,48,,,100.00%,0,0.00%,48,,0,0,0,0,0,0,,0.00,0.00,
"(V03) (526) Bronx, NY",,"24,786","24,680",,,99.57%,106,0.43%,"22,206",,"1,341","1,133",102,4,0,0,5.70,3,2,
(V03) (526) James J. Peters VAMC,,"24,021","23,918",,,99.57%,103,0.43%,"21,560",,"1,291","1,067",99,4,0,0,6,3,1.80,
(V03) (526GA) White Plains,,367,365,,,99.46%,2,0.54%,255,,46,64,2,0,0,0,9,0.00,4,
(V03) (526GB) Yonkers,,275,274,,,99.64%,1,0.36%,269,,3,2,1,0,0,0,0,,1,
"(V03) (526GD) Thomas P. Noonan
Jr. VA OPC",,123,123,,,100.00%,0,0.00%,122,,1,0,0,0,0,0,0,0.00,0.00,
"(V03) (561) New Jersey HCS, NJ",,"41,395","41,066",,,99.21%,329,0.79%,"38,859",,"1,129","1,078",280,44,5,0,0.70,3,1.10,
(V03) (561) East Orange VAMC,,"21,491","21,263",,,98.94%,228,1.06%,"20,000",,592,671,181,42,5,0,1,2.70,2,
"(V03) (561A4) New Jersey HCS, NJ -
Lyons Campus",,"7,739","7,692",,,99.39%,47,0.61%,"7,280",,203,209,45,2,0,0,0,2,1,
(V03) (561BY) Newark,,607,607,,,100.00%,0,0.00%,598,,8,1,0,0,0,0,,,,
(V03) (561BZ) Brick,,"5,938","5,890",,,99.19%,48,0.81%,"5,558",,210,122,48,0,0,0,1,3,1,
(V03) (561GA) Hamilton,,564,563,,,99.82%,1,0.18%,528,,32,3,1,0,0,0,2,8.00,1,
(V03) (561GB) Elizabeth,,234,234,,,100.00%,0,0.00%,220,,7,7,0,0,0,0,1.40,0.00,0,
(V03) (561GD) Hackensack,,"2,071","2,071",,,100.00%,0,0.00%,"2,064",,5,2,0,0,0,0,0,0,0,
(V03) (561GE) Jersey City,,371,371,,,100.00%,0,0.00%,340,,22,9,0,0,0,0,1,3,3,
(V03) (561GF) Piscataway,,524,524,,,100.00%,0,0.00%,490,,17,17,0,0,0,0,2,0,2,
(V03) (561GH) Morristown,,516,515,,,99.81%,1,0.19%,510,,1,4,1,0,0,0,0,0.00,1,
(V03) (561GI) Tinton Falls,,888,885,,,99.66%,3,0.34%,822,,32,31,3,0,0,0,1.70,2,2,
(V03) (561GJ) Paterson,,452,451,,,99.78%,1,0.22%,449,,0,2,1,0,0,0,0,0.00,0,
"(V03) (620) VA Hudson Valley HCS, NY",,"25,236","25,162",,,99.71%,74,0.29%,"23,317",,"1,183",662,72,0,1,1,2,3,2.40,
"(V03) (620) Franklin Delano
Roosevelt Hospital",,"8,208","8,192",,,99.81%,16,0.19%,"7,798",,265,129,15,0,0,1,1,2,2,
(V03) (620A4) Castle Point VAMC,,"9,948","9,905",,,99.57%,43,0.43%,"8,994",,561,350,43,0,0,0,2,3,2,
(V03) (620BU) VADOM Montrose,,"1,116","1,116",,,100.00%,0,0.00%,"1,093",,19,4,0,0,0,0,,,,
(V03) (620GA) New City,,"1,577","1,575",,,99.87%,2,0.13%,"1,393",,130,52,1,0,1,0,2.80,2,4,
,,,,,,,,,,,,,,,,,,,,
"Completed Appointment Wait Times National,
Facility, and Division Level Summaries.
Wait Time Measured from Preferred Date
For the Reporting Period Ending: December
2015",,"Total Completed
Appointments 1","Completed within
30 Days 2",,,"Percent
Appts
Complete
d in 30
Days or
Less 3","Completed in
Over 30 Days 4","Percent
Appts
Complete
d in Over
30 Days 5","Completed 0-7 Days
6",,"Completed 8-14
Days 7","Completed 15-30
Days 8","Completed 31-60
Days 9","Completed 61 90
Days 10","Completed 91-120
Days 11","Completed in
more than 120
Days 12","PC Avg
Wait Time
in Days
13","SC Avg
Wait Time
in Days
14","MH Avg
Wait Time
in Days
15",
(V03) (620GB) Carmel,,847,843,,,99.53%,4,0.47%,788,,28,27,4,0,0,0,1,5,5,
(V03) (620GD) Goshen,,"1,226","1,220",,,99.51%,6,0.49%,"1,030",,119,71,6,0,0,0,2,4,5,
(V03) (620GE) Port Jervis,,"1,020","1,019",,,99.90%,1,0.10%,989,,19,11,1,0,0,0,1,1,1,
(V03) (620GF) Monticello,,501,500,,,99.80%,1,0.20%,472,,22,6,1,0,0,0,1,2,7,
(V03) (620GG) Poughkeepsie,,580,579,,,99.83%,1,0.17%,552,,17,10,1,0,0,0,1,3,1,
(V03) (620GH) Eastern Dutchess,,211,211,,,100.00%,0,0.00%,206,,3,2,0,0,0,0,1,1,0,
(V03) (620MA) IDES West Point,,2,2,,,100.00%,0,0.00%,2,,0,0,0,0,0,0,,0.00,,
"(V03) (630) New York Harbor HCS, NY",,"43,953","43,749",,,99.54%,204,0.46%,"41,403",,"1,379",967,190,11,0,3,2,2,1,
(V03) (630) Manhattan VAMC,,"19,360","19,236",,,99.36%,124,0.64%,"18,092",,664,480,115,8,0,1,2,2,1,
"(V03) (630A4) New York Harbor
HCS-Brooklyn Campus",,"20,424","20,353",,,99.65%,71,0.35%,"19,268",,652,433,68,2,0,1,2,1,1,
(V03) (630A5) St. Albans VAMC,,"2,946","2,943",,,99.90%,3,0.10%,"2,848",,50,45,2,0,0,1,0,1,0,
(V03) (630GA) Harlem CBOC,,119,119,,,100.00%,0,0.00%,119,,0,0,0,0,0,0,0,0.00,0.00,
(V03) (630GB) Staten Island CBOC,,937,931,,,99.36%,6,0.64%,914,,10,7,5,1,0,0,0,1,2,
(V03) (630GC) Chapel St CBOC,,167,167,,,100.00%,0,0.00%,162,,3,2,0,0,0,0,1,,0,
"(V03) (632) Northport, NY",,"28,732","28,552",,,99.37%,180,0.63%,"25,919",,"1,486","1,147",174,4,2,0,3.60,3,1,
(V03) (632) Northport VAMC,,"24,955","24,782",,,99.31%,173,0.69%,"22,540",,"1,206","1,036",167,4,2,0,4,3,1,
(V03) (632BU) Northport VADOM,,235,235,,,100.00%,0,0.00%,235,,0,0,0,0,0,0,,,,
(V03) (632GA) East Meadow,,"1,085","1,085",,,100.00%,0,0.00%,991,,78,16,0,0,0,0,2,4,1,
(V03) (632HA) Valley Stream,,344,342,,,99.42%,2,0.58%,315,,19,8,2,0,0,0,1,0.00,3,
(V03) (632HB) Riverhead,,860,857,,,99.65%,3,0.35%,728,,84,45,3,0,0,0,4,4,2,
(V03) (632HC) Bay Shore,,282,282,,,100.00%,0,0.00%,256,,18,8,0,0,0,0,3,,1,
(V03) (632HD) Patchoque,,901,899,,,99.78%,2,0.22%,786,,79,34,2,0,0,0,2,7,3,
"(V03) (632QA) Northport 1 VA Mobile
Clinic",,51,51,,,100.00%,0,0.00%,51,,0,0,0,0,0,0,,0,,
"(V03) (632QB) Northport 2 VA Mobile
Clinic",,19,19,,,100.00%,0,0.00%,17,,2,0,0,0,0,0,,1,,
"(V04) (460) Wilmington, DE",,"15,392","14,736",,,95.74%,656,4.26%,"11,964",,"1,358","1,414",579,74,3,0,6,7,5,
(V04) (460) Wilmington VAMC,,"11,001","10,573",,,96.11%,428,3.89%,"8,547",,995,"1,031",370,58,0,0,4,7,4,
(V04) (460GA) Sussex County,,956,947,,,99.06%,9,0.94%,818,,67,62,7,2,0,0,4,4,4,
(V04) (460GC) Kent County,,"1,355","1,265",,,93.36%,90,6.64%,"1,055",,96,114,76,12,2,0,7,6,7,
(V04) (460GD) Cape May USCG,,324,314,,,96.91%,10,3.09%,235,,46,33,10,0,0,0,9,1,7,
(V04) (460HE) Atlantic County,,832,772,,,92.79%,60,7.21%,637,,70,65,58,2,0,0,9,7,4,
(V04) (460HG) Cumberland County,,861,802,,,93.15%,59,6.85%,626,,76,100,58,0,1,0,9,9,3,
"(V04) (460HK) Wilmington VA Mobile
Clinic",,44,44,,,100.00%,0,0.00%,44,,0,0,0,0,0,0,0.00,,,
(V04) (460MA) IDES Dover AFB,,19,19,,,100.00%,0,0.00%,2,,8,9,0,0,0,0,,13,16.60,
"(V04) (503) Altoona, PA",,"14,753","14,721",,,99.78%,32,0.22%,"13,216",,954,551,26,6,0,0,4,3,1,
"(V04) (503) James E. Van Zandt
VAMC",,"9,211","9,193",,,99.80%,18,0.20%,"8,440",,453,300,12,6,0,0,3,2.90,1,
(V04) (503GA) Johnstown,,"1,758","1,754",,,99.77%,4,0.23%,"1,504",,150,100,4,0,0,0,5.80,4,1,
(V04) (503GB) DuBois (Clearfield),,"1,937","1,928",,,99.54%,9,0.46%,"1,723",,146,59,9,0,0,0,3,5,1,
"(V04) (503GC) State College (Centre
County)",,"1,319","1,318",,,99.92%,1,0.08%,"1,066",,169,83,1,0,0,0,5,4,2,
(V04) (503GD) Huntingdon County,,239,239,,,100.00%,0,0.00%,218,,18,3,0,0,0,0,3,0.00,0,
(V04) (503GE) Indiana County,,289,289,,,100.00%,0,0.00%,265,,18,6,0,0,0,0,3,0.00,0,
"(V04) (529) Butler, PA",,"8,719","8,693",,,99.70%,26,0.30%,"8,361",,189,143,20,6,0,0,1,2,1,
(V04) (529) Butler VAMC,,"6,277","6,251",,,99.59%,26,0.41%,"5,970",,153,128,20,6,0,0,1,2,1,
,,,,,,,,,,,,,,,,,,,,
"Completed Appointment Wait Times National,
Facility, and Division Level Summaries.
Wait Time Measured from Preferred Date
For the Reporting Period Ending: December
2015",,"Total Completed
Appointments 1","Completed within
30 Days 2",,,"Percent
Appts
Complete
d in 30
Days or
Less 3","Completed in
Over 30 Days 4","Percent
Appts
Complete
d in Over
30 Days 5","Completed 0-7 Days
6",,"Completed 8-14
Days 7","Completed 15-30
Days 8","Completed 31-60
Days 9","Completed 61-90
Days 10","Completed 91-120
Days 11","Completed in
more than 120
Days 12","PC Avg
Wait Time
in Days
13","SC Avg
Wait Time
in Days
14","MH Avg
Wait Time
in Days
15",
"(V04) (529GA) Michael A. Marzano
VA OPC",,923,923,,,100.00%,0,0.00%,911,,11,1,0,0,0,0,0,0,0,
(V04) (529GB) Lawrence County,,469,469,,,100.00%,0,0.00%,463,,2,4,0,0,0,0,0,1,0.00,
(V04) (529GC) Armstrong County,,353,353,,,100.00%,0,0.00%,332,,16,5,0,0,0,0,1.10,0.00,2,
(V04) (529GD) Clarion County,,260,260,,,100.00%,0,0.00%,254,,3,3,0,0,0,0,1,0.00,1,
(V04) (529GF) Cranberry Township,,437,437,,,100.00%,0,0.00%,431,,4,2,0,0,0,0,1,0.00,0.00,
"(V04) (540) Clarksburg, WV",,"16,756","15,960",,,95.25%,796,4.75%,"13,972",,938,"1,050",658,118,19,1,6,6,6,
(V04) (540) Louis A Johnson VAMC,,"13,491","12,769",,,94.65%,722,5.35%,"11,159",,713,897,588,114,19,1,8,6,6,
(V04) (540GA) Tucker County,,330,330,,,100.00%,0,0.00%,273,,36,21,0,0,0,0,4,,4,
"(V04) (540GB) Wood County
Veterans Center",,"1,360","1,317",,,96.84%,43,3.16%,"1,155",,98,64,39,4,0,0,5,11.00,4,
(V04) (540GC) Braxton County,,568,554,,,97.54%,14,2.46%,463,,45,46,14,0,0,0,4,11,10,
(V04) (540GD) Monongalia County,,919,904,,,98.37%,15,1.63%,853,,34,17,15,0,0,0,1,0.00,4,
"(V04) (540HK) Clarksburg VA Mobile
Clinic",,88,86,,,97.73%,2,2.27%,69,,12,5,2,0,0,0,5,0.00,,
"(V04) (542) Coatesville, PA",,"16,071","15,941",,,99.19%,130,0.81%,"14,880",,554,507,102,14,11,3,2,4,3,
(V04) (542) Coatesville VAMC,,"14,118","13,994",,,99.12%,124,0.88%,"13,004",,510,480,96,14,11,3,2,4,3,
(V04) (542BU) VADOM Coatesville,,414,414,,,100.00%,0,0.00%,413,,1,0,0,0,0,0,,,,
(V04) (542GA) Springfield,,932,931,,,99.89%,1,0.11%,900,,21,10,1,0,0,0,1,0.00,1,
(V04) (542GE) Spring City,,607,602,,,99.18%,5,0.82%,563,,22,17,5,0,0,0,2,0.00,2,
"(V04) (562) Erie, PA",,"15,482","15,016",,,96.99%,466,3.01%,"13,601",,660,755,328,131,6,1,6,6,1,
(V04) (562) Erie VAMC,,"11,764","11,378",,,96.72%,386,3.28%,"10,334",,463,581,248,131,6,1,9,6,1,
(V04) (562GA) Crawford County,,983,912,,,92.78%,71,7.22%,795,,40,77,71,0,0,0,9,4,1,
(V04) (562GB) Ashtabula County,,839,835,,,99.52%,4,0.48%,712,,56,67,4,0,0,0,4,0.50,2,
(V04) (562GC) McKean County,,270,270,,,100.00%,0,0.00%,249,,18,3,0,0,0,0,2,2,1,
(V04) (562GD) Venango County,,984,979,,,99.49%,5,0.51%,911,,42,26,5,0,0,0,2,9,2,
(V04) (562GE) Warren,,642,642,,,100.00%,0,0.00%,600,,41,1,0,0,0,0,1.90,0.00,0,
